method,n_cells,n_cells_with_rmw2,n_cells_with_RMISE,geometric_mean_rel_rmw2,mean_rel_rmw2,max_rel_rmw2,geometric_mean_rel_RMISE,mean_rel_RMISE,max_rel_RMISE,mean_coverage,mean_CI_width,mean_fit_fail,mean_OOM,mean_Timeout,mean_time_fit
PACE-FVE99-GCV,15,15,15,2.684121803451603,2.8944958133617837,6.607175149985371,4.735472600127353,5.611114188929601,12.59021851392664,0.8055866666666667,4.247204014682225,0,0,0,2.3690555555555557
PACE-AIC-GCV,15,15,15,2.721488058090239,2.995727563274064,7.245523851710306,4.7836768516131825,5.654756137541026,12.59021851392664,0.7724933333333334,3.716418983838821,0,0,0,2.130461111111111
PACE-BIC-GCV,15,15,15,2.721488058090239,2.995727563274064,7.245523851710306,4.7836768516131825,5.654756137541026,12.59021851392664,0.7724933333333334,3.716418983838821,0,0,0,2.112332777777778
PACE-AIC-default,15,15,15,2.928413421914624,3.389908200929728,8.070378914875318,4.811119866897232,5.557165129433721,12.565535741975546,0.8460953333333333,5.4815399323659575,0,0,0,0.6430866666666667
PACE-BIC-default,15,15,15,2.928413421914624,3.389908200929728,8.070378914875318,4.811119866897232,5.557165129433721,12.565535741975546,0.8460953333333333,5.4815399323659575,0,0,0,0.6157055555555556
PACE-FVE95-GCV,15,15,15,2.9613708190551344,3.244010242125466,7.245523851710306,5.34474529208805,6.431415716599057,12.880555737256486,0.6657406666666666,3.4539675305746877,0,0,0,2.605563888888889
PACE-FVE99-default,15,15,15,3.2054016134154946,4.112036768377114,15.90602226651876,4.715090890415881,5.4771451523507295,12.565535741975546,0.8939373333333334,11.497235936109627,0,0,0,0.6303211111111111
PACE-FVE95-default,15,15,15,3.3774453784096363,4.206429778525704,15.40726564272576,5.251201323728769,6.31007827423411,12.818432849393444,0.7798826666666667,9.57771537152861,0,0,0,0.6627
