method,n_cells,n_cells_with_rmw2,n_cells_with_RMISE,geometric_mean_rel_rmw2,mean_rel_rmw2,max_rel_rmw2,geometric_mean_rel_RMISE,mean_rel_RMISE,max_rel_RMISE,mean_coverage,mean_CI_width,mean_fit_fail,mean_OOM,mean_Timeout,mean_time_fit
bayesFPCA-Oracle,10,10,10,1.542850023348356,1.7559857751678112,3.802718660776503,3.1552189289069767,4.494576447095724,14.762270259224138,0.814886,1.7647010106794763,0,0,0,6.3834824999999995
bayesFPCA-PVE99-L15,15,15,15,3.00495219225603,3.563775483125404,7.040655422493045,4.514532401451633,5.638657487331745,15.528469134890761,0.8485643333333334,4.5128148322057005,0,0,0.1,38.237924444444445
bayesFPCA-PVE95-L15,15,15,15,3.408323952992056,3.8410772853126263,7.040655422493045,5.356259258219417,6.607461121079216,15.528469134890761,0.782246,4.321266753584803,0,0,0.1,38.380761666666665
