case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
2re,1,50,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4433766666666667,0.011856666666666668,0.45161666666666667,0.013366666666666674
2re,1,50,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061770000000000005,0.01566666666666667,0.06768333333333332,0.01748333333333334
2re,1,50,2,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05774666666666667,0.021273333333333328,0.06203333333333334,0.02641666666666665
2re,1,50,2,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03175333333333332,2.000000000000372e-5,0.03453333333333332,3.333333333334447e-5
2re,1,50,2,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07528333333333334,0.017556666666666654,0.07781666666666667,0.01776666666666665
2re,1,50,2,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26292,0.22486666666666663,0.7945666666666666,0.7609999999999999
2re,2,50,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4663566666666667,0.01041333333333333,0.47925000000000006,0.010916666666666656
2re,2,50,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07815333333333334,0.016836666666666666,0.07951666666666668,0.018400000000000017
2re,2,50,3,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06094000000000001,0.01950333333333333,0.07138333333333334,0.028250000000000004
2re,2,50,3,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08679999999999999,0.047136666666666674,0.0882,0.04843333333333334
2re,2,50,3,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03932,3.0000000000007058e-5,0.03985000000000002,3.333333333334447e-5
2re,2,50,3,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07787333333333334,0.01644,0.08055,0.017666666666666674
2re,2,50,3,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8245499999999999,0.7772966666666667,2.9151666666666665,2.8697166666666667
2re,3,50,5,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4644333333333333,0.01453,0.4688333333333334,0.01731666666666666
2re,3,50,5,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07161000000000001,0.016119999999999995,0.072,0.01681666666666667
2re,3,50,5,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06898666666666667,0.024626666666666668,0.07540000000000001,0.032666666666666684
2re,3,50,5,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05915,0.014233333333333344,0.06035000000000001,0.015183333333333326
2re,3,50,5,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03945,3.0000000000001136e-5,0.03964999999999999,5.000000000000189e-5
2re,3,50,5,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09831000000000001,0.03678333333333334,0.10015000000000002,0.037800000000000014
2re,3,50,5,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.021986666666667,3.97605,11.560733333333333,11.508233333333333
2re,4,50,10,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47548666666666667,0.02174,0.49045000000000005,0.02783333333333333
2re,4,50,10,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07741,0.01795,0.07985,0.018400000000000017
2re,4,50,10,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07440999999999999,0.029250000000000005,0.07801666666666668,0.03333333333333333
2re,4,50,10,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05924666666666667,0.013633333333333345,0.05985000000000002,0.014016666666666684
2re,4,50,10,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040753333333333336,3.3333333333338546e-5,0.04109999999999999,6.666666666668894e-5
2re,4,50,10,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22011333333333336,0.1598166666666667,0.22715000000000002,0.16788333333333336
2re,4,50,10,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3013033333333333,3.2590900000000005,12.163983333333332,12.118300000000001
2re,5,100,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8151333333333334,0.014596666666666666,0.8282666666666666,0.02116666666666666
2re,5,100,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13855666666666666,0.03425333333333333,0.15005,0.039950000000000006
2re,5,100,2,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1789133333333333,0.09730666666666667,0.2045833333333333,0.12819999999999998
2re,5,100,2,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07095333333333334,3.6666666666670034e-5,0.07341666666666667,5.000000000000189e-5
2re,5,100,2,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15125333333333332,0.013003333333333327,0.1668333333333333,0.015816666666666663
2re,5,100,2,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2042966666666666,1.12565,2.7396499999999997,2.6387
2re,6,100,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84946,0.01599666666666667,0.8982166666666667,0.027933333333333334
2re,6,100,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11583333333333332,0.03215,0.13981666666666664,0.04668333333333332
2re,6,100,3,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15017333333333335,0.08376,0.16423333333333334,0.10145000000000001
2re,6,100,3,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15126333333333333,0.09811666666666666,0.16958333333333334,0.1133
2re,6,100,3,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059043333333333343,2.9999999999992252e-5,0.06353333333333336,5.000000000000189e-5
2re,6,100,3,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15998,0.03124666666666667,0.16808333333333333,0.03178333333333334
2re,6,100,3,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2211933333333334,1.15545,4.449983333333334,4.390366666666667
2re,7,100,5,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8521733333333333,0.023936666666666665,0.8622833333333334,0.02999999999999998
2re,7,100,5,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12831666666666666,0.033819999999999996,0.1375666666666667,0.03893333333333334
2re,7,100,5,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15891666666666668,0.08893333333333334,0.17021666666666666,0.10236666666666666
2re,7,100,5,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0983,0.030553333333333335,0.10391666666666667,0.035066666666666683
2re,7,100,5,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05990333333333334,2.666666666666373e-5,0.06144999999999999,5.000000000000189e-5
2re,7,100,5,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20909000000000003,0.07170666666666667,0.22588333333333335,0.08146666666666666
2re,7,100,5,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.548139999999999,4.484043333333333,19.179599999999997,19.116466666666668
2re,8,100,10,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8538366666666667,0.037223333333333344,0.8584833333333334,0.04003333333333335
2re,8,100,10,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14828333333333332,0.03865000000000001,0.16303333333333334,0.043116666666666664
2re,8,100,10,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33220666666666665,0.25206666666666666,0.3712666666666667,0.2938
2re,8,100,10,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09752666666666666,0.02639333333333333,0.0985,0.027016666666666675
