case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
3re,5,100,2,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16120216666666662,0.008159666666666452,0.23636666666666314,0.01029999999999139
3re,5,100,2,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065093833333333,1.0102953333333335,6.28765,6.170783333333338
3re,6,100,3,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8995324999999987,0.02573033333333499,0.9741000000000023,0.04843333333333628
3re,6,100,3,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11409349999999964,0.03514183333333373,0.1306666666666691,0.039383333333338065
3re,6,100,3,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15850166666666668,0.09515916666666697,0.5720666666666678,0.4111666666666679
3re,6,100,3,Local-GAM,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.1616734999999999,0.11121766666666645,0.19836666666666739,0.1382500000000012
3re,6,100,3,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027003499999999937,1.4499999999941338e-5,0.035266666666666426,3.3333333332545106e-5
3re,6,100,3,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13720883333333256,0.020645999999998943,0.20178333333333284,0.03071666666666412
3re,6,100,3,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.932860166666667,1.864921833333334,13.300983333333333,13.259116666666667
3re,7,100,5,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9495661666666659,0.03694983333333336,2.047083333333315,0.08548333333333555
3re,7,100,5,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10327499999999919,0.03192783333333349,0.1304666666666738,0.046266666666664
3re,7,100,5,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16685450000000013,0.10578966666666687,0.6476666666666688,0.4341666666666697
3re,7,100,5,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05674616666666619,0.02557966666666774,0.06296666666664047,0.030816666666639018
3re,7,100,5,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027371499999999892,1.3333333333396998e-5,0.03394999999999679,3.3333333336334664e-5
3re,7,100,5,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19130049999999832,0.06740966666666706,0.23323333333332813,0.0916333333333417
3re,7,100,5,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0459586666666665,1.9987385,56.35889999999999,56.27976666666667
3re,8,100,10,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9717323333333349,0.06455216666666623,1.7152833333333244,0.09713333333332533
