case,subcase_id,method,seed,n_successful_trials,median_time,max_time,allowed_time,process_id,run_order,run_id,original_process_id,original_run_order
3re,24,HGAM-GS,3,5,16.761100000000003,20.668349999999997,25.835437499999998,1,1,3re__subcase-024__HGAM-GS__seed-3,51,5
3re,24,HGAM-GS,13,5,16.761100000000003,20.668349999999997,25.835437499999998,2,1,3re__subcase-024__HGAM-GS__seed-13,51,6
3re,24,HGAM-GS,40,5,16.761100000000003,20.668349999999997,25.835437499999998,3,1,3re__subcase-024__HGAM-GS__seed-40,51,7
3re,24,HGAM-GS,77,5,16.761100000000003,20.668349999999997,25.835437499999998,4,1,3re__subcase-024__HGAM-GS__seed-77,51,8
3re,20,HGAM-GS,26,5,13.786583333333335,15.991066666666667,19.988833333333332,5,1,3re__subcase-020__HGAM-GS__seed-26,51,9
3re,13,HGAM-GS,35,5,3.4114333333333335,3.6364333333333336,4.545541666666667,6,1,3re__subcase-013__HGAM-GS__seed-35,51,10
3re,8,HGAM-GS,12,5,0.32555,0.3307833333333334,0.41347916666666673,7,1,3re__subcase-008__HGAM-GS__seed-12,51,11
3re,8,HGAM-GS,39,5,0.32555,0.3307833333333334,0.41347916666666673,8,1,3re__subcase-008__HGAM-GS__seed-39,51,12
3re,24,HGAM-GS,21,5,16.761100000000003,20.668349999999997,25.835437499999998,9,1,3re__subcase-024__HGAM-GS__seed-21,52,2
3re,24,HGAM-GS,50,5,16.761100000000003,20.668349999999997,25.835437499999998,10,1,3re__subcase-024__HGAM-GS__seed-50,52,3
3re,24,HGAM-GS,56,5,16.761100000000003,20.668349999999997,25.835437499999998,11,1,3re__subcase-024__HGAM-GS__seed-56,52,4
3re,24,HGAM-GS,57,5,16.761100000000003,20.668349999999997,25.835437499999998,12,1,3re__subcase-024__HGAM-GS__seed-57,52,5
3re,24,HGAM-GS,62,5,16.761100000000003,20.668349999999997,25.835437499999998,13,1,3re__subcase-024__HGAM-GS__seed-62,52,6
3re,24,HGAM-GS,68,5,16.761100000000003,20.668349999999997,25.835437499999998,14,1,3re__subcase-024__HGAM-GS__seed-68,52,7
3re,24,HGAM-GS,73,5,16.761100000000003,20.668349999999997,25.835437499999998,15,1,3re__subcase-024__HGAM-GS__seed-73,52,8
3re,24,HGAM-GS,94,5,16.761100000000003,20.668349999999997,25.835437499999998,16,1,3re__subcase-024__HGAM-GS__seed-94,52,9
3re,14,HGAM-GS,91,5,5.2895,5.921433333333334,7.401791666666667,17,1,3re__subcase-014__HGAM-GS__seed-91,52,10
3re,24,HGAM-GS,60,5,16.761100000000003,20.668349999999997,25.835437499999998,18,1,3re__subcase-024__HGAM-GS__seed-60,53,5
3re,24,HGAM-GS,69,5,16.761100000000003,20.668349999999997,25.835437499999998,19,1,3re__subcase-024__HGAM-GS__seed-69,53,6
3re,24,HGAM-GS,74,5,16.761100000000003,20.668349999999997,25.835437499999998,20,1,3re__subcase-024__HGAM-GS__seed-74,53,7
3re,24,HGAM-GS,79,5,16.761100000000003,20.668349999999997,25.835437499999998,21,1,3re__subcase-024__HGAM-GS__seed-79,53,8
3re,24,HGAM-GS,95,5,16.761100000000003,20.668349999999997,25.835437499999998,22,1,3re__subcase-024__HGAM-GS__seed-95,53,9
