case,subcase_id,method
3re,1,AdaStruMM
3re,2,AdaStruMM
3re,3,AdaStruMM
3re,4,AdaStruMM
3re,5,AdaStruMM
3re,6,AdaStruMM
3re,7,AdaStruMM
3re,8,AdaStruMM
3re,9,AdaStruMM
3re,10,AdaStruMM
3re,11,AdaStruMM
3re,12,AdaStruMM
3re,13,AdaStruMM
3re,14,AdaStruMM
3re,15,AdaStruMM
3re,16,AdaStruMM
3re,17,AdaStruMM
3re,18,AdaStruMM
3re,19,AdaStruMM
3re,20,AdaStruMM
3re,21,AdaStruMM
3re,22,AdaStruMM
3re,23,AdaStruMM
3re,24,AdaStruMM
3re,1,FACE
3re,2,FACE
3re,3,FACE
3re,4,FACE
3re,5,FACE
3re,6,FACE
3re,7,FACE
3re,8,FACE
3re,9,FACE
3re,10,FACE
3re,11,FACE
3re,12,FACE
3re,13,FACE
3re,14,FACE
3re,15,FACE
3re,16,FACE
3re,17,FACE
3re,18,FACE
3re,19,FACE
3re,20,FACE
3re,21,FACE
3re,22,FACE
3re,23,FACE
3re,24,FACE
3re,1,HGAM-GS
3re,2,HGAM-GS
3re,3,HGAM-GS
3re,4,HGAM-GS
3re,5,HGAM-GS
3re,6,HGAM-GS
3re,7,HGAM-GS
3re,8,HGAM-GS
3re,9,HGAM-GS
3re,10,HGAM-GS
3re,11,HGAM-GS
3re,12,HGAM-GS
3re,13,HGAM-GS
3re,14,HGAM-GS
3re,15,HGAM-GS
3re,16,HGAM-GS
3re,17,HGAM-GS
3re,18,HGAM-GS
3re,19,HGAM-GS
3re,20,HGAM-GS
3re,21,HGAM-GS
3re,22,HGAM-GS
3re,23,HGAM-GS
3re,24,HGAM-GS
3re,2,Local-GAM
3re,3,Local-GAM
3re,4,Local-GAM
3re,6,Local-GAM
3re,7,Local-GAM
3re,8,Local-GAM
3re,10,Local-GAM
3re,11,Local-GAM
3re,12,Local-GAM
3re,14,Local-GAM
3re,15,Local-GAM
3re,16,Local-GAM
3re,18,Local-GAM
3re,19,Local-GAM
3re,20,Local-GAM
3re,22,Local-GAM
3re,23,Local-GAM
3re,24,Local-GAM
3re,1,Oracle-GP
3re,2,Oracle-GP
3re,3,Oracle-GP
3re,4,Oracle-GP
3re,5,Oracle-GP
3re,6,Oracle-GP
3re,7,Oracle-GP
3re,8,Oracle-GP
3re,9,Oracle-GP
3re,10,Oracle-GP
3re,11,Oracle-GP
3re,12,Oracle-GP
3re,13,Oracle-GP
3re,14,Oracle-GP
3re,15,Oracle-GP
3re,16,Oracle-GP
3re,17,Oracle-GP
3re,18,Oracle-GP
3re,19,Oracle-GP
3re,20,Oracle-GP
3re,21,Oracle-GP
3re,22,Oracle-GP
3re,23,Oracle-GP
3re,24,Oracle-GP
3re,1,PACE
3re,2,PACE
3re,3,PACE
3re,4,PACE
3re,5,PACE
3re,6,PACE
3re,7,PACE
3re,8,PACE
3re,9,PACE
3re,10,PACE
3re,11,PACE
3re,12,PACE
3re,13,PACE
3re,14,PACE
3re,15,PACE
3re,16,PACE
3re,17,PACE
3re,18,PACE
3re,19,PACE
3re,20,PACE
3re,21,PACE
3re,22,PACE
3re,23,PACE
3re,24,PACE
3re,1,bayesFPCA
3re,2,bayesFPCA
3re,3,bayesFPCA
3re,4,bayesFPCA
3re,5,bayesFPCA
3re,6,bayesFPCA
3re,7,bayesFPCA
3re,8,bayesFPCA
3re,9,bayesFPCA
3re,10,bayesFPCA
3re,11,bayesFPCA
3re,12,bayesFPCA
3re,13,bayesFPCA
3re,14,bayesFPCA
3re,15,bayesFPCA
3re,16,bayesFPCA
3re,17,bayesFPCA
3re,18,bayesFPCA
3re,19,bayesFPCA
3re,20,bayesFPCA
3re,21,bayesFPCA
3re,22,bayesFPCA
3re,23,bayesFPCA
3re,24,bayesFPCA
