case,subcase_id,subcase,method,GP_method,RMISE,coverage,CI_width,rmw2,rmw2_emp,n_expected,n_read,fit_fail,pred_fail,CI_fail,OOM,Timeout,unknown_missing,mean_time_total,mean_time_fit,max_time_fit,oracle_RMISE,rel_RMISE,rel_rmw2_emp_bound
3re,1,"d=50, n_i=2",AdaStruMM,EmpiricalCorrected,4.132685718949728,0.8308,3.3674356328770423,1.0623060275724832,0.44323535962963334,2,2,0,0,0,0,0,0,0.4365833333333333,0.013524999999999995,0.016733333333333326,2.715091236580383,1.5221167021093494,2.39670866615909
3re,1,"d=50, n_i=2",Di-95,Empirical,10.114380007431542,0,0,2.3616789724387894,0.29217663381763737,2,2,0.5,0,0,0,0,0,0.033958333333333326,0.002883333333333334,0.0034166666666666677,2.715091236580383,3.725244982990131,8.083052164646528
3re,1,"d=50, n_i=2",Di-99,Empirical,10.114380007431542,0,0,2.3616789724387894,0.29217663381763737,2,2,0.5,0,0,0,0,0,0.028925000000000006,0.0028250000000000107,0.0034500000000000125,2.715091236580383,3.725244982990131,8.083052164646528
3re,1,"d=50, n_i=2",Di-Oracle,NA,NA,NA,NA,NA,NA,2,2,1,0,0,0,0,0,0.02293333333333334,0.0026666666666666766,0.0031333333333333434,2.715091236580383,NA,NA
3re,1,"d=50, n_i=2",FACE-95,FPC,5.48376899121503,0.7245999999999999,3.648755106072653,1.3134314172175805,0.44323535962963334,2,2,0,0,0,0,0,0,0.06108333333333334,0.014916666666666667,0.014933333333333331,2.715091236580383,2.0197365441471336,2.9632821224260657
3re,1,"d=50, n_i=2",FACE-99,FPC,5.48376899121503,0.7245999999999999,3.648755106072653,1.3220255730164636,0.44323535962963334,2,2,0,0,0,0,0,0,0.05970833333333332,0.015066666666666673,0.015300000000000003,2.715091236580383,2.0197365441471336,2.9826717212298806
3re,1,"d=50, n_i=2",Goldsmith-95,Empirical,57.733328229546196,0.971,61.94728987363625,17.936374711198376,0.44323535962963334,2,2,0,0,0,0,0,0,0.32647499999999996,0.29532500000000006,0.3109,2.715091236580383,21.263863052447718,40.466930991665414
3re,1,"d=50, n_i=2",Goldsmith-99,Empirical,6.202832673562064,0.9277,6.938630082900071,1.5058019465711299,0.44323535962963334,2,2,0,0,0,0,0,0,0.31585833333333335,0.28431666666666666,0.2985333333333333,2.715091236580383,2.2845761460946115,3.397296523971768
3re,1,"d=50, n_i=2",HGAM-GS,Empirical,6.70096159003468,0.7652,4.565634226498574,1.499136623924627,0.44323535962963334,2,2,0,0,0,0,0,0,0.04895000000000001,0.019341666666666663,0.022949999999999995,2.715091236580383,2.4680428781739363,3.3822586383390147
3re,1,"d=50, n_i=2",Local-GAM,NA,NA,NA,NA,NA,NA,2,2,1,0,0,0,0,0,0.021275,2.499999999999947e-4,2.499999999999947e-4,2.715091236580383,NA,NA
3re,1,"d=50, n_i=2",Oracle-GP,Individual,2.715091236580383,0.9525,2.7769964176973847,NA,0.44323535962963334,2,2,0,0,0,0,0,0,0.028858333333333333,1.666666666666483e-5,1.6666666666672234e-5,2.715091236580383,1,NA
3re,1,"d=50, n_i=2",PACE-AIC-GCV,FPC,5.593929237753446,0.4697,2.6904355936750712,1.376826367571572,0.44323535962963334,2,2,0,0,0,0,0,0,0.05619166666666667,0.0069916666666666625,0.007216666666666664,2.715091236580383,2.06030985713722,3.1063098592180136
