case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete,fit_cutoff_minutes,fit_time_exempt,decision_stage,decision,decision_reason
2re,3,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.0000000000001136e-5,3.3333333333314856e-5,1.3944333775565504e-5,5.000000000000189e-5,1.5000000000008882,0.03945,0.03964999999999999,0.03945,0.03964999999999999,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
2re,3,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03678333333333334,0.03755,0.0019506409203131,0.03780000000000001,1.0066577896138489,0.09831,0.10015000000000002,0.09831,0.10015000000000002,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,3,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.97605,0.4157,5.239668481905871,11.508233333333331,27.68398684949082,4.021986666666667,11.560733333333332,4.021986666666667,11.560733333333332,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,4,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.02174,0.01811666666666666,0.00525772711772343,0.02783333333333333,1.5363385464581418,0.4754866666666666,0.49045000000000005,0.4754866666666666,0.49045000000000005,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,4,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01795,0.01821666666666666,7.041543391425974e-4,0.01840000000000001,1.010064043915829,0.07741,0.07985,0.07741,0.07985,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,4,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.02925,0.03206666666666669,0.00477569075864656,0.03333333333333333,1.039501039501039,0.07440999999999999,0.07801666666666668,0.07440999999999999,0.07801666666666668,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,4,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01363333333333334,0.01358333333333332,2.2546248764114524e-4,0.01401666666666668,1.0319018404907994,0.05924666666666667,0.05985000000000002,0.05924666666666667,0.05985000000000002,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,4,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.3333333333338546e-5,3.3333333333314856e-5,2.041241452319997e-5,6.666666666668894e-5,2.000000000001777,0.04075333333333333,0.04109999999999999,0.04075333333333333,0.04109999999999999,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
2re,4,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.1598166666666667,0.16235,0.0064597579074004,0.16788333333333336,1.034082743044862,0.22011333333333336,0.22715,0.22011333333333336,0.22715,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,4,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.2590900000000005,0.6938833333333334,5.065459889160554,12.1183,17.46446328633536,3.3013033333333333,12.163983333333332,3.3013033333333333,12.163983333333332,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,5,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01459666666666666,0.01354999999999998,0.00395476857027619,0.02116666666666666,1.5621156211562133,0.8151333333333334,0.8282666666666666,0.8151333333333334,0.8282666666666666,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,5,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03425333333333333,0.03065,0.00508765390157607,0.03995,1.3034257748776508,0.13855666666666666,0.15005,0.13855666666666666,0.15005,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
