case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete
2re,4,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.1598166666666667,0.16235,0.006459757907400408,0.16788333333333336,1.034082743044862,0.22011333333333336,0.22715000000000002,0.22011333333333336,0.22715000000000002
2re,4,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.2590900000000005,0.6938833333333334,5.065459889160554,12.118300000000001,17.46446328633536,3.3013033333333333,12.163983333333332,3.3013033333333333,12.163983333333332
2re,5,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.014596666666666666,0.01354999999999998,0.003954768570276198,0.02116666666666666,1.5621156211562133,0.8151333333333334,0.8282666666666666,0.8151333333333334,0.8282666666666666
2re,5,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03425333333333333,0.030650000000000007,0.005087653901576072,0.039950000000000006,1.3034257748776508,0.13855666666666666,0.15005,0.13855666666666666,0.15005
2re,5,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.09730666666666667,0.1073333333333333,0.02655438235437273,0.12819999999999998,1.194409937888199,0.1789133333333333,0.2045833333333333,0.1789133333333333,0.2045833333333333
2re,5,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.6666666666670034e-5,3.333333333334447e-5,1.3944333775570812e-5,5.000000000000189e-5,1.4999999999995557,0.07095333333333334,0.07341666666666667,0.07095333333333334,0.07341666666666667
2re,5,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.013003333333333327,0.012483333333333313,0.001603875514703891,0.015816666666666663,1.2670226969292406,0.15125333333333332,0.1668333333333333,0.15125333333333332,0.1668333333333333
2re,5,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.12565,0.9440000000000001,0.8891916802167386,2.6387,2.7952330508474574,1.2042966666666666,2.7396499999999997,1.2042966666666666,2.7396499999999997
2re,6,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01599666666666667,0.013283333333333314,0.006698376669014664,0.027933333333333334,2.102885821831873,0.84946,0.8982166666666667,0.84946,0.8982166666666667
2re,6,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03215,0.028916666666666656,0.008140092819563608,0.04668333333333332,1.6144092219020174,0.11583333333333332,0.13981666666666664,0.11583333333333332,0.13981666666666664
2re,6,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.08376,0.07626666666666668,0.013170772566558124,0.10145000000000001,1.330201048951049,0.15017333333333335,0.16423333333333334,0.15017333333333335,0.16423333333333334
2re,6,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.09811666666666666,0.09309999999999999,0.011240180900086376,0.1133,1.2169709989258863,0.15126333333333333,0.16958333333333334,0.15126333333333333,0.16958333333333334
2re,6,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.9999999999992252e-5,3.3333333333314856e-5,1.3944333775567275e-5,5.000000000000189e-5,1.5000000000008882,0.059043333333333343,0.06353333333333336,0.059043333333333343,0.06353333333333336
2re,6,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03124666666666667,0.03141666666666666,5.156441494760524e-4,0.03178333333333334,1.0116710875331567,0.15998,0.16808333333333333,0.15998,0.16808333333333333
2re,6,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.15545,0.1859333333333333,1.8388606415462208,4.390366666666667,23.612585155969885,1.2211933333333334,4.449983333333334,1.2211933333333334,4.449983333333334
2re,7,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.023936666666666665,0.023133333333333332,0.005418453551419339,0.02999999999999998,1.2968299711815554,0.8521733333333333,0.8622833333333334,0.8521733333333333,0.8622833333333334
2re,7,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.033819999999999996,0.030500000000000003,0.004622670584557524,0.03893333333333334,1.2765027322404372,0.12831666666666666,0.1375666666666667,0.12831666666666666,0.1375666666666667
2re,7,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.08893333333333334,0.09048333333333333,0.0117796139816021,0.10236666666666666,1.131331736968134,0.15891666666666668,0.17021666666666666,0.15891666666666668,0.17021666666666666
2re,7,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.030553333333333335,0.028666666666666677,0.0032347376675362504,0.035066666666666683,1.2232558139534886,0.0983,0.10391666666666667,0.0983,0.10391666666666667
2re,7,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.666666666666373e-5,1.6666666666657428e-5,1.4907119850005232e-5,5.000000000000189e-5,3.0000000000017764,0.05990333333333334,0.06144999999999999,0.05990333333333334,0.06144999999999999
2re,7,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.07170666666666667,0.07086666666666668,0.005837101164105346,0.08146666666666666,1.1495766698024457,0.20909000000000003,0.22588333333333335,0.20909000000000003,0.22588333333333335
2re,7,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4.484043333333333,0.84885,8.211117437290264,19.116466666666668,22.5204296008325,4.548139999999999,19.179599999999997,4.548139999999999,19.179599999999997
2re,8,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.037223333333333344,0.036466666666666675,0.001774338687448874,0.04003333333333335,1.097806215722121,0.8538366666666667,0.8584833333333334,0.8538366666666667,0.8584833333333334
2re,8,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03865000000000001,0.04261666666666667,0.005671480798208214,0.043116666666666664,1.0117324990222916,0.14828333333333332,0.16303333333333334,0.14828333333333332,0.16303333333333334
2re,8,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.25206666666666666,0.2790833333333333,0.06885796774682086,0.2938,1.0527321588533893,0.33220666666666665,0.3712666666666667,0.33220666666666665,0.3712666666666667
2re,8,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.02639333333333333,0.02648333333333331,4.471514781865819e-4,0.027016666666666675,1.0201384518565146,0.09752666666666666,0.0985,0.09752666666666666,0.0985
2re,8,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.33333333333267e-5,3.3333333333314856e-5,1.1785113019779728e-5,5.000000000000189e-5,1.5000000000008882,0.06436333333333333,0.06571666666666666,0.06436333333333333,0.06571666666666666
2re,8,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.4387166666666667,0.45031666666666675,0.01867322429457629,0.45378333333333326,1.0076982863910577,0.6004166666666667,0.61995,0.6004166666666667,0.61995
2re,8,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.69804,0.17634999999999998,7.727092577154533,17.51696666666667,99.33068708061622,3.7625499999999996,17.576916666666666,3.7625499999999996,17.576916666666666
2re,9,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.026263333333333333,0.027216666666666653,0.004380550447400682,0.031850000000000024,1.1702388242498485,1.6684833333333333,1.6787833333333333,1.6684833333333333,1.6787833333333333
2re,9,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.059513333333333335,0.0593,6.71792792128297e-4,0.06044999999999998,1.0193929173693084,0.20061333333333334,0.2016166666666667,0.20061333333333334,0.2016166666666667
2re,9,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.0282933333333335,1.0038333333333334,0.36946772329332855,1.5678833333333335,1.5618960650838454,1.19079,1.7094166666666666,1.19079,1.7094166666666666
2re,9,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.6666666666660768e-5,1.6666666666672234e-5,1.4907119849991164e-5,4.999999999997229e-5,2.999999999997335,0.06849333333333334,0.07570000000000002,0.06849333333333334,0.07570000000000002
2re,9,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.04128,0.04266666666666667,0.002421816352336501,0.043583333333333335,1.021484375,0.37671333333333334,0.3997833333333334,0.37671333333333334,0.3997833333333334
2re,9,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.9181633333333337,4.73365,1.9195330830337651,5.7555000000000005,1.2158693608526192,4.001973333333334,5.838800000000001,4.001973333333334,5.838800000000001
2re,10,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03736333333333335,0.041066666666666675,0.0068207954081617155,0.043283333333333354,1.053977272727273,1.6263766666666668,1.6367166666666668,1.6263766666666668,1.6367166666666668
2re,10,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.07193666666666666,0.056049999999999996,0.03579414795434833,0.13596666666666668,2.425810288432947,0.23792666666666665,0.42035,0.23792666666666665,0.42035
2re,10,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.7871833333333333,0.7630333333333332,0.1844030692381351,1.0001,1.3106897907474555,0.9385300000000001,1.1403333333333334,0.9385300000000001,1.1403333333333334
2re,10,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.20521666666666669,0.21415,0.01748733668814223,0.21946666666666673,1.0248268347731344,0.29196,0.3083,0.29196,0.3083
2re,10,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.666666666666965e-5,3.3333333333314856e-5,9.128709291750413e-6,3.333333333334447e-5,1.0000000000008884,0.06324666666666667,0.06928333333333334,0.06324666666666667,0.06928333333333334
2re,10,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.07394333333333333,0.06906666666666667,0.009302304075395033,0.0904,1.308880308880309,0.41473000000000004,0.46260000000000007,0.41473000000000004,0.46260000000000007
2re,10,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.7910233333333334,1.4009500000000001,3.600391334490214,9.05785,6.4655055498054885,2.890006666666667,9.205466666666666,2.890006666666667,9.205466666666666
2re,11,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.05817666666666667,0.046849999999999996,0.02024192088491384,0.08211666666666666,1.7527570259694059,1.6166966666666667,1.6901166666666667,1.6166966666666667,1.6901166666666667
2re,11,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.06642333333333335,0.06826666666666667,0.004234524110740718,0.06845000000000002,1.0026855468750002,0.22173333333333334,0.22895000000000004,0.22173333333333334,0.22895000000000004
2re,11,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.2178266666666666,1.4202666666666668,0.3662951167888174,1.4796166666666666,1.041787927149831,1.3777433333333333,1.6292166666666668,1.3777433333333333,1.6292166666666668
2re,11,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.061500000000000006,0.06511666666666667,0.00602272317514631,0.06663333333333335,1.023291528026619,0.15656666666666666,0.16468333333333335,0.15656666666666666,0.16468333333333335
2re,11,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.666666666666965e-5,3.333333333334447e-5,9.128709291763928e-6,3.333333333334447e-5,1,0.07282000000000001,0.07490000000000001,0.07282000000000001,0.07490000000000001
2re,11,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.22874666666666665,0.2011,0.05994589620834959,0.3357833333333333,1.6697331344273163,0.6414266666666667,0.7567333333333333,0.6414266666666667,0.7567333333333333
2re,11,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.4006233333333333,0.69365,1.5910812387859605,4.2131,6.073812441432999,1.4896233333333333,4.3017666666666665,1.4896233333333333,4.3017666666666665
2re,12,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.08622666666666666,0.08731666666666668,0.006215064583556447,0.09469999999999998,1.084558121778965,1.6992,1.7062666666666668,1.6992,1.7062666666666668
2re,12,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.08657999999999999,0.06556666666666665,0.02954693394509074,0.11916666666666664,1.8174885612608034,0.28258,0.41105,0.28258,0.41105
2re,12,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.3035833333333333,1.3898000000000001,0.17072392960241076,1.4432833333333335,1.0384827553125149,1.4600066666666667,1.6046,1.4600066666666667,1.6046
2re,12,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.061393333333333334,0.057633333333333335,0.00933696804226203,0.07805000000000002,1.3542510121457494,0.1662566666666667,0.2041666666666667,0.1662566666666667,0.2041666666666667
2re,12,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4.0000000000001514e-5,3.333333333334447e-5,1.4907119849993644e-5,6.666666666665932e-5,1.9999999999991116,0.08309666666666667,0.08335,0.08309666666666667,0.08335
2re,12,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.8427900000000002,1.855316666666667,0.029578691185078186,1.8724500000000002,1.0092347218354458,2.28835,2.32235,2.28835,2.32235
2re,12,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4.306843333333333,0.4831333333333333,6.530995077211095,15.361650000000001,31.79588105422934,4.394843333333333,15.4397,4.394843333333333,15.4397
2re,13,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.04145,0.0415,0.005310981809211712,0.046983333333333314,1.1321285140562243,2.545053333333333,2.6308833333333337,2.545053333333333,2.6308833333333337
2re,13,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.11583,0.1376,0.031213119125706665,0.1393,1.0123546511627908,0.35989333333333334,0.45260000000000006,0.35989333333333334,0.45260000000000006
2re,13,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5.010066666666667,5.161433333333333,1.8710120530447925,7.588016666666667,1.4701374941069343,5.528946666666666,7.929283333333333,5.528946666666666,7.929283333333333
2re,13,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.3333333333332623e-5,3.333333333334447e-5,1.1785113019779728e-5,5.000000000000189e-5,1.4999999999995557,0.10064666666666668,0.1014,0.10064666666666668,0.1014
2re,13,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.06115333333333333,0.06035000000000001,0.0022004229391440074,0.06366666666666668,1.0549571941452638,0.7598333333333334,0.9623000000000002,0.7598333333333334,0.9623000000000002
2re,13,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.4562500000000003,1.1535666666666666,3.1230563067067996,7.989433333333334,6.9258531510966,2.5723333333333334,8.102833333333333,2.5723333333333334,8.102833333333333
2re,14,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.07942333333333332,0.07363333333333331,0.013460490539187485,0.09913333333333331,1.346310547759167,2.5875299999999997,2.63845,2.5875299999999997,2.63845
2re,14,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.09822000000000002,0.09400000000000001,0.006384033904114936,0.10771666666666668,1.145921985815603,0.28071333333333337,0.30868333333333337,0.28071333333333337,0.30868333333333337
2re,14,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.46772,4.546966666666666,1.8265534454874903,5.013016666666667,1.1024969026970364,3.8424733333333334,5.3921166666666664,3.8424733333333334,5.3921166666666664
2re,14,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.29070666666666667,0.2935,0.006314298148734451,0.29623333333333335,1.00931289040318,0.40793666666666667,0.4174333333333334,0.40793666666666667,0.4174333333333334
2re,14,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4.0000000000001514e-5,3.333333333334447e-5,1.4907119849993644e-5,6.666666666665932e-5,1.9999999999991116,0.09326333333333334,0.09693333333333333,0.09326333333333334,0.09693333333333333
2re,14,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.2162,0.22451666666666667,0.01520654099027418,0.22469999999999998,1.0008165689258406,0.96226,1.0719833333333333,0.96226,1.0719833333333333
2re,14,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6.090986666666667,1.02425,11.48910685887458,26.617966666666668,25.987763404116833,6.20913,26.73255,6.20913,26.73255
2re,15,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.07938,0.07745,0.012110156435359894,0.09931666666666666,1.282332687755541,2.445116666666667,2.4765666666666664,2.445116666666667,2.4765666666666664
2re,15,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.12008,0.08455,0.07986793822026181,0.26295,3.1099940863394444,0.36817666666666665,0.8191,0.36817666666666665,0.8191
2re,15,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6.20503,6.96435,1.3433003218338366,7.45065,1.0698270477503287,6.68966,7.865516666666666,6.68966,7.865516666666666
2re,15,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.11873666666666667,0.07793333333333334,0.05889078332906696,0.18805,2.4129597946963215,0.2675266666666667,0.42615,0.2675266666666667,0.42615
2re,15,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.0000000000001136e-5,3.3333333333314856e-5,1.3944333775565504e-5,5.000000000000189e-5,1.5000000000008882,0.08321666666666666,0.0909,0.08321666666666666,0.0909
2re,15,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.49182000000000003,0.4976333333333334,0.012954125254570901,0.4978166666666667,1.000368410476254,1.3072566666666667,1.3470666666666666,1.3072566666666667,1.3470666666666666
2re,15,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.7803933333333335,1.2275166666666666,3.8154744665018767,9.592966666666667,7.814938018492621,2.885003333333333,9.697366666666666,2.885003333333333,9.697366666666666
2re,16,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.11433666666666666,0.11241666666666668,0.012777700845179023,0.12863333333333332,1.144255003706449,2.5785066666666667,2.608616666666667,2.5785066666666667,2.608616666666667
2re,16,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.14993666666666666,0.10303333333333334,0.06465912262696491,0.2209833333333333,2.1447751536719504,0.44190999999999997,0.6827166666666666,0.44190999999999997,0.6827166666666666
2re,16,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4.05598,3.8385333333333334,0.8121213167446792,4.910283333333334,1.2792082045225608,4.415303333333333,5.244516666666667,4.415303333333333,5.244516666666667
2re,16,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.10046,0.087716666666666665,0.029351096894134784,0.15291666666666665,1.743302299068972,0.21985666666666664,0.27101666666666663,0.21985666666666664,0.27101666666666663
2re,16,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4.3333333333333e-5,5.000000000000189e-5,1.900292375166514e-5,6.666666666668894e-5,1.3333333333337283,0.09028333333333333,0.09058333333333332,0.09028333333333333,0.09058333333333332
2re,16,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5.024276666666667,5.53725,0.8468811265953056,5.711216666666667,1.031417520730808,6.37614,7.32735,6.37614,7.32735
2re,16,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.1679766666666667,0.7457999999999999,1.2412502188429928,3.3501833333333333,4.492066684544561,1.2807433333333333,3.4804833333333334,1.2807433333333333,3.4804833333333334
2re,17,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.062303333333333336,0.053916666666666654,0.015056944687861914,0.08276666666666666,1.5350850077279754,3.8261366666666667,3.8760666666666665,3.8261366666666667,3.8760666666666665
2re,17,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.16723,0.14571666666666666,0.04826469753119539,0.25356666666666666,1.7401349651149491,0.4796266666666667,0.7096833333333333,0.4796266666666667,0.7096833333333333
