case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete,fit_cutoff_minutes,fit_time_exempt,decision_stage,decision,decision_reason
2re,18,bayesFPCA,10,10,10,0,0,0,0,0,0,0,0,0,0,0,10,1,0,8.740726666666667,1.3312166666666667,13.576080177798918,35.945616666666666,27.002078299300138,8.860696666666668,36.0316,8.860696666666668,36.0316,30,FALSE,final,include,At least 80% of runs completed and mean fitting time did not exceed 30 minutes
2re,19,bayesFPCA,10,10,10,0,0,0,0,0,0,0,0,0,0,0,10,1,0,16.03007333333333,5.345633333333334,20.255966591357655,52.99853333333333,9.914360007233316,16.15565666666667,53.094033333333336,16.15565666666667,53.094033333333336,30,FALSE,final,include,At least 80% of runs completed and mean fitting time did not exceed 30 minutes
2re,22,Local-GAM,10,10,9,0,0,0,0,0,1,0,0,0,0,1,9,0.9,0,0.7565148148148149,0.45380000000000004,0.6033538816392894,1.8366000000000002,4.047157338034377,0.8712866666666668,2.168516666666667,0.9160907407407408,2.168516666666667,30,FALSE,final,include,At least 80% of runs completed and mean fitting time did not exceed 30 minutes
3re,16,bayesFPCA,10,10,10,0,0,0,0,0,0,0,0,0,0,0,10,1,0,5.9343200000000005,2.250716666666667,10.151702445034456,33.98636666666667,15.100242145094525,6.021876666666667,34.058350000000004,6.021876666666667,34.058350000000004,30,FALSE,final,include,At least 80% of runs completed and mean fitting time did not exceed 30 minutes
sitar,22,Local-GAM,10,10,9,0,0,0,0,0,1,0,0,0,0,1,9,0.9,0,0.49003703703703705,0.44869999999999993,0.058568360330387606,0.5782666666666666,1.2887601218334448,0.8231550000000001,0.9983000000000001,0.8529092592592593,0.9983000000000001,30,FALSE,final,include,At least 80% of runs completed and mean fitting time did not exceed 30 minutes
