case,subcase_id,method,metric,estimate,lower,upper,n_available,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label,prop_metric_missing,show_metric,method_label,reference_type,reference_label
2re,1,Oracle-GP,RMISE,1.3938675625097694,1.3176554201522135,1.4661233772699165,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023772999999999985,1.3333333333359103e-5,0.02626666666666703,1.6666666668167332e-5,50,2,"d=50, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
2re,5,Oracle-GP,RMISE,1.4259844439933715,1.378896031879248,1.4715668528102397,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027609833333332518,1.4000000000426857e-5,0.0335999999999937,1.6666666670062114e-5,100,2,"d=100, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
2re,9,Oracle-GP,RMISE,1.3935313103919311,1.3608801858393171,1.4254347217165895,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04409249999999914,1.2999999999465218e-5,0.051099999999996724,1.6666666670062114e-5,200,2,"d=200, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
2re,13,Oracle-GP,RMISE,1.410872845860264,1.3813533752174512,1.4397872159270744,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06416483333333205,1.5833333334436854e-5,0.08200000000000121,3.333333334012423e-5,300,2,"d=300, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
2re,17,Oracle-GP,RMISE,1.3950367241154398,1.3721012689395955,1.4176011537226634,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08081533333333331,1.549999999914083e-5,0.09501666666666703,3.3333333332545106e-5,400,2,"d=400, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
2re,21,Oracle-GP,RMISE,1.4074024484018848,1.385750482052244,1.428726322647978,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09819566666666664,1.7666666666589968e-5,0.1274500000000008,3.3333333334439885e-5,500,2,"d=500, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
2re,2,Oracle-GP,RMISE,0.8140463578600967,0.7574644836342119,0.8669431939425639,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02133733333333338,1.2833333333304608e-5,0.0266666666666661,1.6666666667219943e-5,50,3,"d=50, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
2re,6,Oracle-GP,RMISE,0.7665123493911312,0.7325871867200733,0.7989983588167073,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028140500000000127,1.3333333333321207e-5,0.03185000000000097,1.6666666670062114e-5,100,3,"d=100, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
2re,10,Oracle-GP,RMISE,0.7801334974485034,0.7565567920535818,0.8030182862675429,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043897166666666786,1.3666666667177198e-5,0.04946666666666412,3.333333334012423e-5,200,3,"d=200, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
2re,14,Oracle-GP,RMISE,0.7684058935075301,0.7520571089146632,0.7844140101280254,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05564666666666623,1.3666666666419285e-5,0.061383333333333213,1.6666666670062114e-5,300,3,"d=300, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
2re,18,Oracle-GP,RMISE,0.7739435122483549,0.760843044207265,0.7868258907687651,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08288133333333318,1.5500000000050325e-5,0.09681666666666994,3.3333333332545106e-5,400,3,"d=400, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
