case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,50,bayesFPCA,3.3709464634721464,2.464549910719273,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,3.3709464634721464,2.464549910719273,1.3677736648020828,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,100,bayesFPCA,3.039764151237977,2.244139042003384,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,3.039764151237977,2.244139042003384,1.354534676480796,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,200,bayesFPCA,2.4527980873000295,1.7840522507022092,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.4527980873000295,1.7840522507022092,1.374846553028141,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,300,bayesFPCA,2.3050873735011566,1.8681070233009205,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.3050873735011566,1.8681070233009205,1.2339161219083141,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,400,bayesFPCA,2.3357864053684603,1.6337773331974643,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.3357864053684603,1.6337773331974643,1.4296846687162041,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,2,500,bayesFPCA,2.299312673227648,1.647562177203489,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.299312673227648,1.647562177203489,1.395584764594691,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,50,bayesFPCA,2.7858805070128394,1.3742653979401493,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.7858805070128394,1.3742653979401493,2.0271779462602515,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,100,bayesFPCA,2.6052545321872294,1.147593525252396,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.6052545321872294,1.147593525252396,2.2701892916433475,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,200,bayesFPCA,2.311959562513652,0.9061872596449175,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.311959562513652,0.9061872596449175,2.551304421803034,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,300,bayesFPCA,2.145710600784712,0.8169157177306303,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.145710600784712,0.8169157177306303,2.6265997265243444,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,400,bayesFPCA,1.634459437878734,0.9138615058842524,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.634459437878734,0.9138615058842524,1.78851984393109,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,3,500,bayesFPCA,1.6540127676012037,0.8866780702800654,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.6540127676012037,0.8866780702800654,1.865403942017838,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,5,50,HGAM-GS,2.756927979836309,0.46347351312570784,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.756927979836309,0.46347351312570784,5.948404605137701,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,5,100,bayesFPCA,2.0423399691279926,0.4100817372562401,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,2.0423399691279926,0.4100817372562401,4.980324124631363,NA
2re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,5,200,bayesFPCA,1.7227426136130823,0.3748624284777617,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.7227426136130823,0.3748624284777617,4.595666257108725,NA
