case,subcase_id,method,metric,estimate,lower,upper,n_available,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label,prop_metric_missing,show_metric,method_label
2re,1,PACE,time,0.0031981666666664904,0.003148580683823699,0.003247752649509282,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053924166666666905,0.0031981666666664904,0.07023333333333236,0.004033333333336486,50,2,"d=50, n_i=2",0,TRUE,PACE
2re,1,bayesFPCA,RMISE,3.3709464634721464,3.1433799102901063,3.58409303154582,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35758633333333356,0.32989200000000085,1.8651166666666665,1.73245,50,2,"d=50, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,1,bayesFPCA,ci_width,2.73185611073242,2.4654909221258166,2.998221299339024,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35758633333333356,0.32989200000000085,1.8651166666666665,1.73245,50,2,"d=50, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,1,bayesFPCA,coverage,0.79988,0.7841081573810874,0.8156518426189127,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35758633333333356,0.32989200000000085,1.8651166666666665,1.73245,50,2,"d=50, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,1,bayesFPCA,rmw2,1.069377030749251,0.9858803128979036,1.1468105669327,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35758633333333356,0.32989200000000085,1.8651166666666665,1.73245,50,2,"d=50, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,1,bayesFPCA,time,0.32989200000000085,0.2626368182150554,0.3971471817849463,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35758633333333356,0.32989200000000085,1.8651166666666665,1.73245,50,2,"d=50, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,5,AdaStruMM,RMISE,2.244139042003384,2.153694133752383,2.3310773599192935,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815514166666668,0.013439166666665843,0.8909500000000056,0.023550000000007763,100,2,"d=100, n_i=2",0,TRUE,AdaStruMM
2re,5,AdaStruMM,ci_width,1.7520242151973227,1.7097191797885916,1.7943292506060537,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815514166666668,0.013439166666665843,0.8909500000000056,0.023550000000007763,100,2,"d=100, n_i=2",0,TRUE,AdaStruMM
2re,5,AdaStruMM,coverage,0.915745,0.9046092090446546,0.9268807909553455,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815514166666668,0.013439166666665843,0.8909500000000056,0.023550000000007763,100,2,"d=100, n_i=2",0,TRUE,AdaStruMM
2re,5,AdaStruMM,rmw2,0.562657851161638,0.5181998904034836,0.6038514623096326,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815514166666668,0.013439166666665843,0.8909500000000056,0.023550000000007763,100,2,"d=100, n_i=2",0,TRUE,AdaStruMM
2re,5,AdaStruMM,time,0.013439166666665843,0.012675061741738726,0.01420327159159296,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815514166666668,0.013439166666665843,0.8909500000000056,0.023550000000007763,100,2,"d=100, n_i=2",0,TRUE,AdaStruMM
2re,5,FACE,RMISE,7.908265726823139,3.85880113459923,10.497189500800046,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10632166666666733,0.03406633333333366,0.11408333333333757,0.04243333333332278,100,2,"d=100, n_i=2",0,TRUE,FACE
2re,5,FACE,ci_width,4.347751434269167,4.000776842367827,4.694726026170507,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10632166666666733,0.03406633333333366,0.11408333333333757,0.04243333333332278,100,2,"d=100, n_i=2",0,TRUE,FACE
2re,5,FACE,coverage,0.81463700000000006,0.7677127039676575,0.8615612960323427,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10632166666666733,0.03406633333333366,0.11408333333333757,0.04243333333332278,100,2,"d=100, n_i=2",0,TRUE,FACE
2re,5,FACE,rmw2,1.2681594333862576,1.181272950142454,1.3494631948426201,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10632166666666733,0.03406633333333366,0.11408333333333757,0.04243333333332278,100,2,"d=100, n_i=2",0,TRUE,FACE
2re,5,FACE,time,0.03406633333333366,0.03361792795565665,0.03451473871101066,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10632166666666733,0.03406633333333366,0.11408333333333757,0.04243333333332278,100,2,"d=100, n_i=2",0,TRUE,FACE
2re,5,HGAM-GS,RMISE,5.053024617163744,4.936202327055259,5.167206416401405,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13788300000000073,0.09404683333333283,0.9017500000000079,0.8608666666666674,100,2,"d=100, n_i=2",0,TRUE,HGAM-GS
2re,5,HGAM-GS,ci_width,2.762272533320188,2.6262351464499782,2.8983099201903975,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13788300000000073,0.09404683333333283,0.9017500000000079,0.8608666666666674,100,2,"d=100, n_i=2",0,TRUE,HGAM-GS
2re,5,HGAM-GS,coverage,0.732395,0.7099914164053613,0.7547985835946387,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13788300000000073,0.09404683333333283,0.9017500000000079,0.8608666666666674,100,2,"d=100, n_i=2",0,TRUE,HGAM-GS
2re,5,HGAM-GS,rmw2,1.1229244274698182,1.0918429550566242,1.1531684617219016,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13788300000000073,0.09404683333333283,0.9017500000000079,0.8608666666666674,100,2,"d=100, n_i=2",0,TRUE,HGAM-GS
2re,5,HGAM-GS,time,0.09404683333333283,0.078054578283315107,0.11003908838335055,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13788300000000073,0.09404683333333283,0.9017500000000079,0.8608666666666674,100,2,"d=100, n_i=2",0,TRUE,HGAM-GS
2re,5,PACE,RMISE,4.938879830580959,3.443062879537655,6.0770375981549325,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1806791666666667,0.009584333333333606,0.33481666666666665,0.014500000000000075,100,2,"d=100, n_i=2",0,TRUE,PACE
2re,5,PACE,ci_width,4.924941413655844,4.560851031867532,5.289031795444156,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1806791666666667,0.009584333333333606,0.33481666666666665,0.014500000000000075,100,2,"d=100, n_i=2",0,TRUE,PACE
2re,5,PACE,coverage,0.888257,0.8613498653610067,0.9151641346389933,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1806791666666667,0.009584333333333606,0.33481666666666665,0.014500000000000075,100,2,"d=100, n_i=2",0,TRUE,PACE
2re,5,PACE,rmw2,1.195801849976479,1.0468130732275056,1.328181658710255,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1806791666666667,0.009584333333333606,0.33481666666666665,0.014500000000000075,100,2,"d=100, n_i=2",0,TRUE,PACE
