case,subcase_id,method,seed,n_successful_trials,median_time,max_time,allowed_time,process_id,run_order,run_id,original_process_id,original_run_order
sitar,4,HGAM-GS,8,5,0.5321666666666667,0.5343333333333333,0.6679166666666667,44,1,sitar__subcase-004__HGAM-GS__seed-8,78,10
sitar,22,HGAM-GS,63,5,14.40805,24.366216666666666,30.457770833333335,45,1,sitar__subcase-022__HGAM-GS__seed-63,79,4
sitar,22,HGAM-GS,70,5,14.40805,24.366216666666666,30.457770833333335,46,1,sitar__subcase-022__HGAM-GS__seed-70,79,5
sitar,22,HGAM-GS,77,5,14.40805,24.366216666666666,30.457770833333335,47,1,sitar__subcase-022__HGAM-GS__seed-77,79,6
sitar,22,HGAM-GS,93,5,14.40805,24.366216666666666,30.457770833333335,48,1,sitar__subcase-022__HGAM-GS__seed-93,79,7
sitar,17,HGAM-GS,18,5,18.212750000000003,18.446749999999998,23.058437499999997,49,1,sitar__subcase-017__HGAM-GS__seed-18,79,8
sitar,10,HGAM-GS,71,5,2.2645166666666667,2.44995,3.0624374999999997,50,1,sitar__subcase-010__HGAM-GS__seed-71,79,9
sitar,4,HGAM-GS,17,5,0.5321666666666667,0.5343333333333333,0.6679166666666667,51,1,sitar__subcase-004__HGAM-GS__seed-17,79,10
sitar,24,HGAM-GS,3,5,9.9589,11.807116666666667,14.758895833333334,52,1,sitar__subcase-024__HGAM-GS__seed-3,96,9
sitar,24,HGAM-GS,13,5,9.9589,11.807116666666667,14.758895833333334,53,1,sitar__subcase-024__HGAM-GS__seed-13,96,10
sitar,24,HGAM-GS,20,5,9.9589,11.807116666666667,14.758895833333334,54,1,sitar__subcase-024__HGAM-GS__seed-20,96,11
sitar,24,HGAM-GS,40,5,9.9589,11.807116666666667,14.758895833333334,55,1,sitar__subcase-024__HGAM-GS__seed-40,96,12
sitar,24,HGAM-GS,62,5,9.9589,11.807116666666667,14.758895833333334,56,1,sitar__subcase-024__HGAM-GS__seed-62,96,13
sitar,24,HGAM-GS,68,5,9.9589,11.807116666666667,14.758895833333334,57,1,sitar__subcase-024__HGAM-GS__seed-68,96,14
sitar,24,HGAM-GS,73,5,9.9589,11.807116666666667,14.758895833333334,58,1,sitar__subcase-024__HGAM-GS__seed-73,96,15
sitar,24,HGAM-GS,77,5,9.9589,11.807116666666667,14.758895833333334,59,1,sitar__subcase-024__HGAM-GS__seed-77,96,16
sitar,6,HGAM-GS,27,5,0.7250666666666666,0.7365999999999999,0.92075,60,1,sitar__subcase-006__HGAM-GS__seed-27,96,17
sitar,4,HGAM-GS,83,5,0.5321666666666667,0.5343333333333333,0.6679166666666667,61,1,sitar__subcase-004__HGAM-GS__seed-83,96,18
sitar,24,HGAM-GS,21,5,9.9589,11.807116666666667,14.758895833333334,62,1,sitar__subcase-024__HGAM-GS__seed-21,97,3
sitar,24,HGAM-GS,25,5,9.9589,11.807116666666667,14.758895833333334,63,1,sitar__subcase-024__HGAM-GS__seed-25,97,4
sitar,24,HGAM-GS,34,5,9.9589,11.807116666666667,14.758895833333334,64,1,sitar__subcase-024__HGAM-GS__seed-34,97,5
sitar,24,HGAM-GS,39,5,9.9589,11.807116666666667,14.758895833333334,65,1,sitar__subcase-024__HGAM-GS__seed-39,97,6
sitar,24,HGAM-GS,50,5,9.9589,11.807116666666667,14.758895833333334,66,1,sitar__subcase-024__HGAM-GS__seed-50,97,7
sitar,24,HGAM-GS,56,5,9.9589,11.807116666666667,14.758895833333334,67,1,sitar__subcase-024__HGAM-GS__seed-56,97,8
sitar,24,HGAM-GS,57,5,9.9589,11.807116666666667,14.758895833333334,68,1,sitar__subcase-024__HGAM-GS__seed-57,97,9
sitar,24,HGAM-GS,58,5,9.9589,11.807116666666667,14.758895833333334,69,1,sitar__subcase-024__HGAM-GS__seed-58,97,10
sitar,24,HGAM-GS,60,5,9.9589,11.807116666666667,14.758895833333334,70,1,sitar__subcase-024__HGAM-GS__seed-60,97,11
sitar,24,HGAM-GS,69,5,9.9589,11.807116666666667,14.758895833333334,71,1,sitar__subcase-024__HGAM-GS__seed-69,97,12
sitar,24,HGAM-GS,74,5,9.9589,11.807116666666667,14.758895833333334,72,1,sitar__subcase-024__HGAM-GS__seed-74,97,13
sitar,24,HGAM-GS,79,5,9.9589,11.807116666666667,14.758895833333334,73,1,sitar__subcase-024__HGAM-GS__seed-79,97,14
sitar,24,HGAM-GS,94,5,9.9589,11.807116666666667,14.758895833333334,74,1,sitar__subcase-024__HGAM-GS__seed-94,97,15
sitar,24,HGAM-GS,95,5,9.9589,11.807116666666667,14.758895833333334,75,1,sitar__subcase-024__HGAM-GS__seed-95,97,16
sitar,10,HGAM-GS,26,5,2.2645166666666667,2.44995,3.0624374999999997,76,1,sitar__subcase-010__HGAM-GS__seed-26,97,17
sitar,7,HGAM-GS,51,5,0.37753333333333333,0.5759333333333333,0.7199166666666666,77,1,sitar__subcase-007__HGAM-GS__seed-51,97,18
sitar,24,HGAM-GS,12,5,9.9589,11.807116666666667,14.758895833333334,78,1,sitar__subcase-024__HGAM-GS__seed-12,98,3
sitar,24,HGAM-GS,16,5,9.9589,11.807116666666667,14.758895833333334,79,1,sitar__subcase-024__HGAM-GS__seed-16,98,4
sitar,24,HGAM-GS,24,5,9.9589,11.807116666666667,14.758895833333334,80,1,sitar__subcase-024__HGAM-GS__seed-24,98,5
