case,subcase_id,metric,method,n_obs_per_cluster,n_clusters,estimate,lower,upper,reason
sitar,24,ci_width,Local-GAM,10,500,0.4228933115297746,0.4169662693320292,0.42882035372752003,Local-GAM CI results suppressed
sitar,2,rmw2,Local-GAM,3,50,2.770356851090925,2.7250346082013577,2.814949475368559,Local-GAM suppressed for n_i < 5
sitar,6,rmw2,Local-GAM,3,100,2.616704501071196,2.589094816669461,2.644025892866377,Local-GAM suppressed for n_i < 5
sitar,10,rmw2,Local-GAM,3,200,2.5698201090370714,2.5536130670726225,2.5859255769063747,Local-GAM suppressed for n_i < 5
sitar,14,rmw2,Local-GAM,3,300,2.538633627864258,2.527584746458867,2.5496346292194403,Local-GAM suppressed for n_i < 5
sitar,18,rmw2,Local-GAM,3,400,2.5305746365897814,2.5228179153494117,2.5383076544609513,Local-GAM suppressed for n_i < 5
sitar,22,rmw2,Local-GAM,3,500,2.5235468918962662,2.514822560715067,2.5322411653152477,Local-GAM suppressed for n_i < 5
sitar,1,rmw2,SITAR,2,50,1270.605997698341,0,2160.785237312944,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,5,rmw2,SITAR,2,100,455.23294485852995,0,697.6473655206265,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,9,rmw2,SITAR,2,200,83.7691244259248,0,137.05129196373036,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,13,rmw2,SITAR,2,300,7149.258527192225,0,12299.280095159642,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,17,rmw2,SITAR,2,400,194.3398434342446,0,327.375803255682,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,21,rmw2,SITAR,2,500,536.0888328712426,0,894.0230794948478,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,2,rmw2,SITAR,3,50,427.2718958257278,0,654.3584247728202,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,6,rmw2,SITAR,3,100,111.62236930116717,0,180.62275339755772,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,10,rmw2,SITAR,3,200,1877.827130960261,0,3199.4097595691687,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,14,rmw2,SITAR,3,300,396.7161018805249,0,591.250130395954,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,18,rmw2,SITAR,3,400,161.51344807503455,68.53991643752197,217.8886588900654,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,22,rmw2,SITAR,3,500,416.68457742769294,0,693.4438638484135,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,1,time,SITAR,2,50,0.09112266666666657,0.07807106060165062,0.10417427273168253,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,5,time,SITAR,2,100,0.20805250000000128,0.17134045812716564,0.24476454187283692,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,9,time,SITAR,2,200,0.38093400000000033,0.33323206568167923,0.4286359343183214,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,13,time,SITAR,2,300,0.4990483333333329,0.42625708099028004,0.5718395856763858,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,17,time,SITAR,2,400,0.7118941666666666,0.6173914653139261,0.8063968680194071,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,21,time,SITAR,2,500,0.8489816666666666,0.7183873734037771,0.9795759599295562,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,2,time,SITAR,3,50,0.1460284999999999,0.11305241778533275,0.17900458221466703,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,6,time,SITAR,3,100,0.3607320000000006,0.2822419930962904,0.4392220069037108,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,10,time,SITAR,3,200,0.9297459999999994,0.7560625923416021,1.1034294076583968,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,14,time,SITAR,3,300,1.5991083333333336,1.3033448000821992,1.894871866584468,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,18,time,SITAR,3,400,2.2735475,1.8739647720626782,2.6731302279373215,SITAR suppressed for n_i < 5 because fitting was unreliable
sitar,22,time,SITAR,3,500,3.667669,3.1293400376446767,4.205997962355323,SITAR suppressed for n_i < 5 because fitting was unreliable
