case,subcase_id,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label
sitar,4,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,3.5918069999999993,2.0343463333333336,3.930499999999999,2.258583333333324,50,10,"d=50, n_i=10"
sitar,4,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3443361666666665,0.11855999999999979,0.43890000000000007,0.1417833333333333,50,10,"d=50, n_i=10"
sitar,4,SITAR,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0.2633518333333328,0.029117833333333617,0.774733333333332,0.5558166666666693,50,10,"d=50, n_i=10"
sitar,5,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0595850000000004,0.032379833333334315,1.4264166666666673,0.05621666666667503,100,2,"d=100, n_i=2"
sitar,5,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37532433333333337,0.03915066666666692,0.41266666666666274,0.04820000000000088,100,2,"d=100, n_i=2"
sitar,5,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4202650000000012,0.12406966666666587,1.2274000000000038,0.8946166666666613,100,2,"d=100, n_i=2"
sitar,5,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,6.908833333333335,3.9560445000000013,7.582716666666666,4.348516666666668,100,2,"d=100, n_i=2"
sitar,5,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2972456666666666,0.006074833333333223,0.3782999999999999,0.011833333333333347,100,2,"d=100, n_i=2"
sitar,5,SITAR,100,100,0,0,0,0,0,75,0,0,0,25,0,0,0,0,0.75,0,0,0,0.25,0.40540833333333387,0.20805250000000128,1.3957499999999983,1.1904166666666698,100,2,"d=100, n_i=2"
sitar,6,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0785794999999998,0.05265083333333317,1.3049166666666667,0.09653333333333194,100,3,"d=100, n_i=3"
sitar,6,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35159933333333404,0.036752333333333505,0.4176333333333332,0.04688333333333503,100,3,"d=100, n_i=3"
sitar,6,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506209,0.13673916666666672,1.7212833333333333,0.7024333333333334,100,3,"d=100, n_i=3"
sitar,6,Local-GAM,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.4124763333333331,0.11475533333333351,0.4651500000000018,0.15008333333333515,100,3,"d=100, n_i=3"
sitar,6,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,6.896993500000001,3.926989500000001,7.225883333333334,4.105216666666668,100,3,"d=100, n_i=3"
sitar,6,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29265233333333335,0.014069500000000307,0.3272333333333336,0.019166666666666287,100,3,"d=100, n_i=3"
sitar,6,SITAR,100,100,0,0,0,0,0,57,0,0,0,43,0,0,0,0,0.57,0,0,0,0.43,0.581378166666667,0.3607320000000006,2.2650833333333367,2.034366666666665,100,3,"d=100, n_i=3"
