case,subcase_id,method,metric,estimate,lower,upper,n_available,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label,prop_metric_missing,show_metric,method_label
3re,1,AdaStruMM,RMISE,4.095160427613952,3.9738820259241425,4.2129490264929155,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5012251666666667,0.013977833333333243,0.5606833333333333,0.02806666666666615,50,2,"d=50, n_i=2",0,TRUE,AdaStruMM
3re,1,AdaStruMM,ci_width,3.626950018596938,3.4690631628022257,3.7848368743916505,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5012251666666667,0.013977833333333243,0.5606833333333333,0.02806666666666615,50,2,"d=50, n_i=2",0,TRUE,AdaStruMM
3re,1,AdaStruMM,coverage,0.869336,0.856733834921492,0.881938165078508,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5012251666666667,0.013977833333333243,0.5606833333333333,0.02806666666666615,50,2,"d=50, n_i=2",0,TRUE,AdaStruMM
3re,1,AdaStruMM,rmw2,1.0668380080947923,1.0120311238865598,1.1189636613028302,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5012251666666667,0.013977833333333243,0.5606833333333333,0.02806666666666615,50,2,"d=50, n_i=2",0,TRUE,AdaStruMM
3re,1,AdaStruMM,time,0.013977833333333243,0.012873700466377402,0.015081966200289084,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5012251666666667,0.013977833333333243,0.5606833333333333,0.02806666666666615,50,2,"d=50, n_i=2",0,TRUE,AdaStruMM
3re,1,FACE,RMISE,8.043052224047523,6.699392619814541,9.192361866413119,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09095100000000003,0.023152000000000148,0.11006666666666737,0.02866666666666712,50,2,"d=50, n_i=2",0,TRUE,FACE
3re,1,FACE,ci_width,4.57999513902368,4.142756631772637,5.017233646274723,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09095100000000003,0.023152000000000148,0.11006666666666737,0.02866666666666712,50,2,"d=50, n_i=2",0,TRUE,FACE
3re,1,FACE,coverage,0.719498,0.667439348673406,0.7715566513265939,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09095100000000003,0.023152000000000148,0.11006666666666737,0.02866666666666712,50,2,"d=50, n_i=2",0,TRUE,FACE
3re,1,FACE,rmw2,1.6618434037807421,1.5663421532766726,1.752147041845439,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09095100000000003,0.023152000000000148,0.11006666666666737,0.02866666666666712,50,2,"d=50, n_i=2",0,TRUE,FACE
3re,1,FACE,time,0.023152000000000148,0.022294623876790057,0.02400937612321024,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09095100000000003,0.023152000000000148,0.11006666666666737,0.02866666666666712,50,2,"d=50, n_i=2",0,TRUE,FACE
3re,1,HGAM-GS,RMISE,6.564754718670937,6.280733002687872,6.836987785682525,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653913333333334,0.021241666666667016,0.20441666666667213,0.15966666666666546,50,2,"d=50, n_i=2",0,TRUE,HGAM-GS
3re,1,HGAM-GS,ci_width,4.30132942255426,3.6578163364390592,4.944842508669461,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653913333333334,0.021241666666667016,0.20441666666667213,0.15966666666666546,50,2,"d=50, n_i=2",0,TRUE,HGAM-GS
3re,1,HGAM-GS,coverage,0.713444,0.6734755808002061,0.7534124191997938,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653913333333334,0.021241666666667016,0.20441666666667213,0.15966666666666546,50,2,"d=50, n_i=2",0,TRUE,HGAM-GS
3re,1,HGAM-GS,rmw2,1.5971280262211536,1.5231534209035271,1.6678247871620204,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653913333333334,0.021241666666667016,0.20441666666667213,0.15966666666666546,50,2,"d=50, n_i=2",0,TRUE,HGAM-GS
