case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,10,300,HGAM-GS,1.5170568934640947,0.21917279823351504,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.5170568934640947,0.21917279823351504,6.921738946124895,NA
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,10,400,HGAM-GS,1.5005669032260385,0.2150830578080584,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.5005669032260385,0.2150830578080584,6.976685744188902,NA
3re,Next-best general-purpose RMISE / AdaStruMM RMISE,RMISE,10,500,HGAM-GS,1.5003079990755248,0.21632025121550916,minimum RMISE among non-AdaStruMM general-purpose methods,AdaStruMM RMISE,1.5003079990755248,0.21632025121550916,6.935587355530769,NA
3re,AdaStruMM RMISE / oracle RMISE,RMISE,2,50,Oracle,NA,4.095160427613952,AdaStruMM RMISE,oracle RMISE,4.095160427613952,2.7265932895150695,1.501932995786946,2.7265932895150695
3re,AdaStruMM RMISE / oracle RMISE,RMISE,2,100,Oracle,NA,3.5263046482961786,AdaStruMM RMISE,oracle RMISE,3.5263046482961786,2.760817486428784,1.277268296665847,2.760817486428784
3re,AdaStruMM RMISE / oracle RMISE,RMISE,2,200,Oracle,NA,3.2510840135012633,AdaStruMM RMISE,oracle RMISE,3.2510840135012633,2.764875289050738,1.1758519548335415,2.764875289050738
3re,AdaStruMM RMISE / oracle RMISE,RMISE,2,300,Oracle,NA,3.0797948402359197,AdaStruMM RMISE,oracle RMISE,3.0797948402359197,2.7875824815170347,1.104826443937135,2.7875824815170347
3re,AdaStruMM RMISE / oracle RMISE,RMISE,2,400,Oracle,NA,3.019968627420288,AdaStruMM RMISE,oracle RMISE,3.019968627420288,2.7691037733879,1.0905942407949067,2.7691037733879
3re,AdaStruMM RMISE / oracle RMISE,RMISE,2,500,Oracle,NA,2.957310485735955,AdaStruMM RMISE,oracle RMISE,2.957310485735955,2.768784072534607,1.0680899659426193,2.768784072534607
3re,AdaStruMM RMISE / oracle RMISE,RMISE,3,50,Oracle,NA,2.5516599253842016,AdaStruMM RMISE,oracle RMISE,2.5516599253842016,1.485971118376512,1.7171665679289922,1.485971118376512
3re,AdaStruMM RMISE / oracle RMISE,RMISE,3,100,Oracle,NA,2.1874369297787415,AdaStruMM RMISE,oracle RMISE,2.1874369297787415,1.490798797595112,1.4672918527352008,1.490798797595112
3re,AdaStruMM RMISE / oracle RMISE,RMISE,3,200,Oracle,NA,1.9715730515656933,AdaStruMM RMISE,oracle RMISE,1.9715730515656933,1.4901429957918628,1.3230764142323121,1.4901429957918628
3re,AdaStruMM RMISE / oracle RMISE,RMISE,3,300,Oracle,NA,1.8076564117717495,AdaStruMM RMISE,oracle RMISE,1.8076564117717495,1.4989461007823746,1.2059515754624157,1.4989461007823746
3re,AdaStruMM RMISE / oracle RMISE,RMISE,3,400,Oracle,NA,1.72651674567709,AdaStruMM RMISE,oracle RMISE,1.72651674567709,1.5184612837229616,1.1370172978292987,1.5184612837229616
3re,AdaStruMM RMISE / oracle RMISE,RMISE,3,500,Oracle,NA,1.7230204107593126,AdaStruMM RMISE,oracle RMISE,1.7230204107593126,1.5116303696756788,1.1398424147359434,1.5116303696756788
3re,AdaStruMM RMISE / oracle RMISE,RMISE,5,50,Oracle,NA,0.7945690984093087,AdaStruMM RMISE,oracle RMISE,0.7945690984093087,0.5533698698546146,1.4358734396183583,0.5533698698546146
3re,AdaStruMM RMISE / oracle RMISE,RMISE,5,100,Oracle,NA,0.7376921779027589,AdaStruMM RMISE,oracle RMISE,0.7376921779027589,0.5329383728571715,1.3841979025602305,0.5329383728571715
3re,AdaStruMM RMISE / oracle RMISE,RMISE,5,200,Oracle,NA,0.5824557425054415,AdaStruMM RMISE,oracle RMISE,0.5824557425054415,0.5495221824554429,1.0599312659278664,0.5495221824554429
3re,AdaStruMM RMISE / oracle RMISE,RMISE,5,300,Oracle,NA,0.6109341085422797,AdaStruMM RMISE,oracle RMISE,0.6109341085422797,0.55866736024531,1.0935561158862392,0.55866736024531
3re,AdaStruMM RMISE / oracle RMISE,RMISE,5,400,Oracle,NA,0.5715784875535532,AdaStruMM RMISE,oracle RMISE,0.5715784875535532,0.5531497700129085,1.0333159634870943,0.5531497700129085
3re,AdaStruMM RMISE / oracle RMISE,RMISE,5,500,Oracle,NA,0.5746370820241155,AdaStruMM RMISE,oracle RMISE,0.5746370820241155,0.5607387683140105,1.0247857192965155,0.5607387683140105
3re,AdaStruMM RMISE / oracle RMISE,RMISE,10,50,Oracle,NA,0.2502943319629414,AdaStruMM RMISE,oracle RMISE,0.2502943319629414,0.21227095870803667,1.1791265912507753,0.21227095870803667
3re,AdaStruMM RMISE / oracle RMISE,RMISE,10,100,Oracle,NA,0.2303357630182463,AdaStruMM RMISE,oracle RMISE,0.2303357630182463,0.21111616155796645,1.0910380395249972,0.21111616155796645
3re,AdaStruMM RMISE / oracle RMISE,RMISE,10,200,Oracle,NA,0.22146590855308093,AdaStruMM RMISE,oracle RMISE,0.22146590855308093,0.21228636305973456,1.0432413338334097,0.21228636305973456
3re,AdaStruMM RMISE / oracle RMISE,RMISE,10,300,Oracle,NA,0.21917279823351504,AdaStruMM RMISE,oracle RMISE,0.21917279823351504,0.21169149858597847,1.0353405767237178,0.21169149858597847
3re,AdaStruMM RMISE / oracle RMISE,RMISE,10,400,Oracle,NA,0.2150830578080584,AdaStruMM RMISE,oracle RMISE,0.2150830578080584,0.20942619395917814,1.0270112527088322,0.20942619395917814
3re,AdaStruMM RMISE / oracle RMISE,RMISE,10,500,Oracle,NA,0.21632025121550916,AdaStruMM RMISE,oracle RMISE,0.21632025121550916,0.21134356877335447,1.02354783006192,0.21134356877335447
3re,AdaStruMM CI coverage,coverage,2,50,NA,NA,0.869336,AdaStruMM coverage,NA,0.869336,NA,0.869336,NA
3re,AdaStruMM CI coverage,coverage,2,100,NA,NA,0.934368,AdaStruMM coverage,NA,0.934368,NA,0.934368,NA
3re,AdaStruMM CI coverage,coverage,2,200,NA,NA,0.9473595,AdaStruMM coverage,NA,0.9473595,NA,0.9473595,NA
3re,AdaStruMM CI coverage,coverage,2,300,NA,NA,0.9534576666666666,AdaStruMM coverage,NA,0.9534576666666666,NA,0.9534576666666666,NA
3re,AdaStruMM CI coverage,coverage,2,400,NA,NA,0.9561425,AdaStruMM coverage,NA,0.9561425,NA,0.9561425,NA
3re,AdaStruMM CI coverage,coverage,2,500,NA,NA,0.9564172,AdaStruMM coverage,NA,0.9564172,NA,0.9564172,NA
3re,AdaStruMM CI coverage,coverage,3,50,NA,NA,0.92772,AdaStruMM coverage,NA,0.92772,NA,0.92772,NA
3re,AdaStruMM CI coverage,coverage,3,100,NA,NA,0.939047,AdaStruMM coverage,NA,0.939047,NA,0.939047,NA
3re,AdaStruMM CI coverage,coverage,3,200,NA,NA,0.9473895,AdaStruMM coverage,NA,0.9473895,NA,0.9473895,NA
3re,AdaStruMM CI coverage,coverage,3,300,NA,NA,0.9560193333333333,AdaStruMM coverage,NA,0.9560193333333333,NA,0.9560193333333333,NA
3re,AdaStruMM CI coverage,coverage,3,400,NA,NA,0.957679,AdaStruMM coverage,NA,0.957679,NA,0.957679,NA
3re,AdaStruMM CI coverage,coverage,3,500,NA,NA,0.9581586,AdaStruMM coverage,NA,0.9581586,NA,0.9581586,NA
3re,AdaStruMM CI coverage,coverage,5,50,NA,NA,0.951826,AdaStruMM coverage,NA,0.951826,NA,0.951826,NA
3re,AdaStruMM CI coverage,coverage,5,100,NA,NA,0.952762,AdaStruMM coverage,NA,0.952762,NA,0.952762,NA
3re,AdaStruMM CI coverage,coverage,5,200,NA,NA,0.9511875,AdaStruMM coverage,NA,0.9511875,NA,0.9511875,NA
3re,AdaStruMM CI coverage,coverage,5,300,NA,NA,0.9492613333333333,AdaStruMM coverage,NA,0.9492613333333333,NA,0.9492613333333333,NA
