case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,3,50,HGAM-GS,1.2771264564737654,0.7448997790653425,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,1.2771264564737654,0.7448997790653425,1.7144943418780851,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,3,100,HGAM-GS,1.184626943332831,0.5179263582839114,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,1.184626943332831,0.5179263582839114,2.287249768978652,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,3,200,bayesFPCA,1.0101997797883095,0.4003930332153461,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,1.0101997797883095,0.4003930332153461,2.523020372447357,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,3,300,PACE,0.9442789091050945,0.31136536579713026,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.9442789091050945,0.31136536579713026,3.0327037391831766,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,3,400,FACE,0.8676270811228455,0.25601513627703243,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.8676270811228455,0.25601513627703243,3.388967909241083,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,3,500,bayesFPCA,0.7401976180613067,0.2575938781266164,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.7401976180613067,0.2575938781266164,2.8735062472931663,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,5,50,HGAM-GS,0.9933769806933297,0.6314255406851322,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.9933769806933297,0.6314255406851322,1.5732290138524643,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,5,100,HGAM-GS,0.8347547253781029,0.3862041470163744,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.8347547253781029,0.3862041470163744,2.1614338733206577,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,5,200,HGAM-GS,0.7758136908395902,0.2702489708041005,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.7758136908395902,0.2702489708041005,2.870736893210839,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,5,300,bayesFPCA,0.6761821956210181,0.2457389655626603,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.6761821956210181,0.2457389655626603,2.7516279075757737,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,5,400,bayesFPCA,0.6265591813470305,0.1960770252995368,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.6265591813470305,0.1960770252995368,3.1954747395308973,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,5,500,bayesFPCA,0.674852084058763,0.16539325864011867,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.674852084058763,0.16539325864011867,4.080287731238081,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,10,50,HGAM-GS,0.6370142213367685,0.5307703824760271,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.6370142213367685,0.5307703824760271,1.2001691171333209,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,10,100,HGAM-GS,0.5348123287938361,0.3980822785672183,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.5348123287938361,0.3980822785672183,1.3434718338096787,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,10,200,HGAM-GS,0.44737626569969496,0.29356166851182525,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.44737626569969496,0.29356166851182525,1.523960086368271,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,10,300,HGAM-GS,0.40936822898970004,0.22710040466020406,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.40936822898970004,0.22710040466020406,1.8025869641325023,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,10,400,HGAM-GS,0.3881838355405945,0.185205911241466,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.3881838355405945,0.185205911241466,2.095958130809831,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,10,500,HGAM-GS,0.3860201123804947,0.18301035874580537,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.3860201123804947,0.18301035874580537,2.109280125048344,NA
3re,AdaStruMM RM2W / oracle RM2W,rmw2,2,50,Oracle,NA,1.0668380080947923,AdaStruMM RM2W,oracle RM2W,1.0668380080947923,0.582729194196727,1.8307612158772884,0.582729194196727
3re,AdaStruMM RM2W / oracle RM2W,rmw2,2,100,Oracle,NA,0.7160835944243151,AdaStruMM RM2W,oracle RM2W,0.7160835944243151,0.43238933886520325,1.6561083497194022,0.43238933886520325
3re,AdaStruMM RM2W / oracle RM2W,rmw2,2,200,Oracle,NA,0.5116855074147364,AdaStruMM RM2W,oracle RM2W,0.5116855074147364,0.26345606386821613,1.9422043277420542,0.26345606386821613
3re,AdaStruMM RM2W / oracle RM2W,rmw2,2,300,Oracle,NA,0.39214532279976516,AdaStruMM RM2W,oracle RM2W,0.39214532279976516,0.2332979294562591,1.6808778531113722,0.2332979294562591
3re,AdaStruMM RM2W / oracle RM2W,rmw2,2,400,Oracle,NA,0.3607774925758713,AdaStruMM RM2W,oracle RM2W,0.3607774925758713,0.19250975178693389,1.8740738545815223,0.19250975178693389
3re,AdaStruMM RM2W / oracle RM2W,rmw2,2,500,Oracle,NA,0.31538238711014743,AdaStruMM RM2W,oracle RM2W,0.31538238711014743,0.17612568088123187,1.7906666735489958,0.17612568088123187
3re,AdaStruMM RM2W / oracle RM2W,rmw2,3,50,Oracle,NA,0.7448997790653425,AdaStruMM RM2W,oracle RM2W,0.7448997790653425,0.5601833423523669,1.3297428230145145,0.5601833423523669
3re,AdaStruMM RM2W / oracle RM2W,rmw2,3,100,Oracle,NA,0.5179263582839114,AdaStruMM RM2W,oracle RM2W,0.5179263582839114,0.3999507169217129,1.2949754466505714,0.3999507169217129
3re,AdaStruMM RM2W / oracle RM2W,rmw2,3,200,Oracle,NA,0.4003930332153461,AdaStruMM RM2W,oracle RM2W,0.4003930332153461,0.28014306154772073,1.4292448686869994,0.28014306154772073
3re,AdaStruMM RM2W / oracle RM2W,rmw2,3,300,Oracle,NA,0.31136536579713026,AdaStruMM RM2W,oracle RM2W,0.31136536579713026,0.22268334223535652,1.3982427363967114,0.22268334223535652
3re,AdaStruMM RM2W / oracle RM2W,rmw2,3,400,Oracle,NA,0.25601513627703243,AdaStruMM RM2W,oracle RM2W,0.25601513627703243,0.1951541649894291,1.3118609909806433,0.1951541649894291
3re,AdaStruMM RM2W / oracle RM2W,rmw2,3,500,Oracle,NA,0.2575938781266164,AdaStruMM RM2W,oracle RM2W,0.2575938781266164,0.17679303102805652,1.4570363810649132,0.17679303102805652
3re,AdaStruMM RM2W / oracle RM2W,rmw2,5,50,Oracle,NA,0.6314255406851322,AdaStruMM RM2W,oracle RM2W,0.6314255406851322,0.6149043603064918,1.0268678862033207,0.6149043603064918
3re,AdaStruMM RM2W / oracle RM2W,rmw2,5,100,Oracle,NA,0.3862041470163744,AdaStruMM RM2W,oracle RM2W,0.3862041470163744,0.36938605801644564,1.045529842382898,0.36938605801644564
3re,AdaStruMM RM2W / oracle RM2W,rmw2,5,200,Oracle,NA,0.2702489708041005,AdaStruMM RM2W,oracle RM2W,0.2702489708041005,0.26860698500547847,1.0061129676080036,0.26860698500547847
3re,AdaStruMM RM2W / oracle RM2W,rmw2,5,300,Oracle,NA,0.2457389655626603,AdaStruMM RM2W,oracle RM2W,0.2457389655626603,0.2402089840817489,1.023021543103606,0.2402089840817489
3re,AdaStruMM RM2W / oracle RM2W,rmw2,5,400,Oracle,NA,0.1960770252995368,AdaStruMM RM2W,oracle RM2W,0.1960770252995368,0.19321453770776084,1.0148150735743575,0.19321453770776084
3re,AdaStruMM RM2W / oracle RM2W,rmw2,5,500,Oracle,NA,0.16539325864011867,AdaStruMM RM2W,oracle RM2W,0.16539325864011867,0.16360937236505,1.010903325703667,0.16360937236505
3re,AdaStruMM RM2W / oracle RM2W,rmw2,10,50,Oracle,NA,0.5307703824760271,AdaStruMM RM2W,oracle RM2W,0.5307703824760271,0.5284846296165029,1.004325107546047,0.5284846296165029
3re,AdaStruMM RM2W / oracle RM2W,rmw2,10,100,Oracle,NA,0.3980822785672183,AdaStruMM RM2W,oracle RM2W,0.3980822785672183,0.3977025590489699,1.0009547826877363,0.3977025590489699
3re,AdaStruMM RM2W / oracle RM2W,rmw2,10,200,Oracle,NA,0.29356166851182525,AdaStruMM RM2W,oracle RM2W,0.29356166851182525,0.2926171185830177,1.0032279380419762,0.2926171185830177
3re,AdaStruMM RM2W / oracle RM2W,rmw2,10,300,Oracle,NA,0.22710040466020406,AdaStruMM RM2W,oracle RM2W,0.22710040466020406,0.2262795436041374,1.0036276414694503,0.2262795436041374
3re,AdaStruMM RM2W / oracle RM2W,rmw2,10,400,Oracle,NA,0.185205911241466,AdaStruMM RM2W,oracle RM2W,0.185205911241466,0.18509385440710566,1.0006054054831766,0.18509385440710566
3re,AdaStruMM RM2W / oracle RM2W,rmw2,10,500,Oracle,NA,0.18301035874580537,AdaStruMM RM2W,oracle RM2W,0.18301035874580537,0.1827114663960142,1.0016358707840665,0.1827114663960142
