case,subcase_id,method,metric,estimate,lower,upper,n_available,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label,prop_metric_missing,show_metric,method_label,reference_type,reference_label
3re,19,Oracle-GP,RMISE,0.5531497700129085,0.5423391784028886,0.5637530946256055,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06066550000000033,1.2333333333250115e-5,0.07074999999999818,1.6666666670062114e-5,400,5,"d=400, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,23,Oracle-GP,RMISE,0.5607387683140105,0.550376876225305,0.5709126261496609,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06728500000000005,1.616666666666126e-5,0.07980000000000018,2.666666666666669e-4,500,5,"d=500, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,4,Oracle-GP,RMISE,0.21227095870803667,0.20716304214495285,0.21725881752165208,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02290599999999976,1.3333333333510685e-5,0.02541666666666439,1.6666666670062114e-5,50,10,"d=50, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,8,Oracle-GP,RMISE,0.21111616155796645,0.2074401196072621,0.21472928100113306,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026216000000000045,1.2166666666625286e-5,0.029833333333332726,1.6666666670062114e-5,100,10,"d=100, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,12,Oracle-GP,RMISE,0.21228636305973456,0.20934725663787218,0.21518532947312127,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04054516666666666,1.5333333333502026e-5,0.055,2.8333333333335395e-4,200,10,"d=200, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,16,Oracle-GP,RMISE,0.21169149858597847,0.20928123896990455,0.2140746228827143,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05001533333333358,1.2333333333610123e-5,0.06283333333333303,1.6666666670062114e-5,300,10,"d=300, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,20,Oracle-GP,RMISE,0.20942619395917814,0.2077782684051844,0.2110612532204757,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061357999999999566,1.266666666629135e-5,0.09408333333333303,1.6666666670062114e-5,400,10,"d=400, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,24,Oracle-GP,RMISE,0.21134356877335447,0.20934998492686316,0.2133185222497976,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06637416666666543,1.2333333333420645e-5,0.07438333333334413,1.6666666670062114e-5,500,10,"d=500, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,1,Oracle-GP,ci_width,2.725437989366122,2.6997700499184893,2.7511059288137543,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024355000000000057,1.3166666666696378e-5,0.028049999999999877,3.3333333336334664e-5,50,2,"d=50, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,5,Oracle-GP,ci_width,2.724842105845728,2.7100919001311823,2.7395923115602736,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025423333333333253,1.416666666667273e-5,0.02881666666666547,1.6666666668167332e-5,100,2,"d=100, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,9,Oracle-GP,ci_width,2.7345705834918896,2.7239308578731625,2.745210309110617,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04078483333333376,1.3166666667075333e-5,0.05493333333332278,1.6666666670062114e-5,200,2,"d=200, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,13,Oracle-GP,ci_width,2.7373098932566613,2.728253899494397,2.746365887018926,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051770166666666534,1.333333333286646e-5,0.06398333333333237,1.6666666670062114e-5,300,2,"d=300, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,17,Oracle-GP,ci_width,2.7381513527714407,2.7301059509956094,2.746196754547272,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06098933333333344,1.2499999999666519e-5,0.07925000000000182,1.6666666670062114e-5,400,2,"d=400, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,21,Oracle-GP,ci_width,2.7422464119773937,2.734479892312531,2.7500129316422566,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06700916666666666,1.316666666663006e-5,0.08116666666666675,1.6666666668167332e-5,500,2,"d=500, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,2,Oracle-GP,ci_width,1.2733047688716677,1.2491892036561356,1.2974203340871997,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024868000000000164,1.5166666666649084e-5,0.02858333333333197,3.3333333332545106e-5,50,3,"d=50, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,6,Oracle-GP,ci_width,1.2832709259321267,1.2673635657423639,1.2991782861218895,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027003499999999937,1.4499999999941338e-5,0.035266666666666426,3.3333333332545106e-5,100,3,"d=100, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,10,Oracle-GP,ci_width,1.287285494645336,1.2777023414849746,1.2968686478056974,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04048400000000001,1.3666666666708238e-5,0.04381666666666698,1.6666666667219943e-5,200,3,"d=200, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,14,Oracle-GP,ci_width,1.2932308521871598,1.2852956254688064,1.3011660789055133,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05136583333333344,1.3166666666696378e-5,0.058283333333330724,1.6666666670062114e-5,300,3,"d=300, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,18,Oracle-GP,ci_width,1.2946934745111944,1.2870754187821116,1.3023115302402772,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05906733333333318,1.1833333333394573e-5,0.07993333333333794,1.6666666670062114e-5,400,3,"d=400, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,22,Oracle-GP,ci_width,1.2910328139243057,1.28425427559375,1.2978113522548613,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06613300000000026,1.250000000008337e-5,0.07328333333333603,3.3333333332545106e-5,500,3,"d=500, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,3,Oracle-GP,ci_width,0.5037110925739917,0.49571946774989656,0.5117027173980869,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023959500000000047,1.5166666666724875e-5,0.028033333333333608,1.6666666670062114e-5,50,5,"d=50, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,7,Oracle-GP,ci_width,0.5003308448302449,0.4941326485977332,0.5065290410627566,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027371499999999892,1.3333333333396998e-5,0.03394999999999679,3.3333333336334664e-5,100,5,"d=100, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,11,Oracle-GP,ci_width,0.5059251285564934,0.501602071094237,0.5102481860187498,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041299166666666526,1.4000000000275274e-5,0.06861666666666982,3.333333334012423e-5,200,5,"d=200, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,15,Oracle-GP,ci_width,0.506051243430787,0.5024638941993906,0.5096385926621834,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050690500000000305,1.3666666667480361e-5,0.06700000000000728,1.6666666670062114e-5,300,5,"d=300, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,19,Oracle-GP,ci_width,0.506623695856467,0.5034667482780673,0.5097806434348668,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06066550000000033,1.2333333333250115e-5,0.07074999999999818,1.6666666670062114e-5,400,5,"d=400, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,23,Oracle-GP,ci_width,0.5081665621334327,0.505325178881827,0.5110079453850384,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06728500000000005,1.616666666666126e-5,0.07980000000000018,2.666666666666669e-4,500,5,"d=500, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,4,Oracle-GP,ci_width,0.24579787820960614,0.2443823971362921,0.24721335928292018,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02290599999999976,1.3333333333510685e-5,0.02541666666666439,1.6666666670062114e-5,50,10,"d=50, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,8,Oracle-GP,ci_width,0.24662287708915884,0.24563122711062854,0.24761452706768913,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026216000000000045,1.2166666666625286e-5,0.029833333333332726,1.6666666670062114e-5,100,10,"d=100, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,12,Oracle-GP,ci_width,0.2465086825154346,0.2457739447075287,0.24724342032334048,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04054516666666666,1.5333333333502026e-5,0.055,2.8333333333335395e-4,200,10,"d=200, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,16,Oracle-GP,ci_width,0.24634642075876179,0.24574648918918868,0.2469463523283349,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05001533333333358,1.2333333333610123e-5,0.06283333333333303,1.6666666670062114e-5,300,10,"d=300, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,20,Oracle-GP,ci_width,0.24620512035069392,0.2456688052727506,0.24674143542863725,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061357999999999566,1.266666666629135e-5,0.09408333333333303,1.6666666670062114e-5,400,10,"d=400, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,24,Oracle-GP,ci_width,0.24604889417050063,0.2455617490033515,0.24653603933764975,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06637416666666543,1.2333333333420645e-5,0.07438333333334413,1.6666666670062114e-5,500,10,"d=500, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,1,Oracle-GP,coverage,0.954028,0.9501602654230448,0.9578957345769552,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024355000000000057,1.3166666666696378e-5,0.028049999999999877,3.3333333336334664e-5,50,2,"d=50, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,5,Oracle-GP,coverage,0.947882,0.9448376189917597,0.9509263810082403,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025423333333333253,1.416666666667273e-5,0.02881666666666547,1.6666666668167332e-5,100,2,"d=100, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,9,Oracle-GP,coverage,0.949232,0.9469124828001386,0.9515515171998613,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04078483333333376,1.3166666667075333e-5,0.05493333333332278,1.6666666670062114e-5,200,2,"d=200, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,13,Oracle-GP,coverage,0.9495169999999999,0.947548671225726,0.9514853287742739,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051770166666666534,1.333333333286646e-5,0.06398333333333237,1.6666666670062114e-5,300,2,"d=300, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,17,Oracle-GP,coverage,0.9498445,0.9483695930514425,0.9513194069485574,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06098933333333344,1.2499999999666519e-5,0.07925000000000182,1.6666666670062114e-5,400,2,"d=400, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
