case,subcase_id,metric,method,n_obs_per_cluster,n_clusters,estimate,lower,upper,reason
3re,2,RMISE,Local-GAM,3,50,18.05944867848621,3.136727561902426,25.346564132918612,Local-GAM suppressed for n_i < 5
3re,6,RMISE,Local-GAM,3,100,21.544538949291905,0,30.69283753407121,Local-GAM suppressed for n_i < 5
3re,10,RMISE,Local-GAM,3,200,47.216123127339905,0,72.22464357562885,Local-GAM suppressed for n_i < 5
3re,14,RMISE,Local-GAM,3,300,41.0433490913936,0,60.393971579504885,Local-GAM suppressed for n_i < 5
3re,18,RMISE,Local-GAM,3,400,43.206723766290374,0,63.1351370011103,Local-GAM suppressed for n_i < 5
3re,22,RMISE,Local-GAM,3,500,38.87071135019303,0,56.06309370526334,Local-GAM suppressed for n_i < 5
3re,2,coverage,Local-GAM,3,50,0.866736,0.8595287490465398,0.8739432509534601,Local-GAM CI results suppressed
3re,6,coverage,Local-GAM,3,100,0.8597828282828283,0.8544700773083609,0.8650955792572956,Local-GAM CI results suppressed
3re,10,coverage,Local-GAM,3,200,0.8618287878787879,0.8582670555949001,0.8653905201626757,Local-GAM CI results suppressed
3re,14,coverage,Local-GAM,3,300,0.8622763333333333,0.8592183836798609,0.8653342829868057,Local-GAM CI results suppressed
3re,18,coverage,Local-GAM,3,400,0.8645020202020202,0.861816231346766,0.8671878090572743,Local-GAM CI results suppressed
3re,22,coverage,Local-GAM,3,500,0.861272,0.8588755926267408,0.8636684073732592,Local-GAM CI results suppressed
3re,3,coverage,Local-GAM,5,50,0.387868,0.3793547930968082,0.3963812069031918,Local-GAM CI results suppressed
3re,7,coverage,Local-GAM,5,100,0.388419,0.381325433570756,0.39551256642924404,Local-GAM CI results suppressed
3re,11,coverage,Local-GAM,5,200,0.384569,0.37994851288836484,0.38918948711163515,Local-GAM CI results suppressed
3re,15,coverage,Local-GAM,5,300,0.38495833333333335,0.3808063469067269,0.3891103197599398,Local-GAM CI results suppressed
3re,19,coverage,Local-GAM,5,400,0.38523625,0.3820179716174621,0.3884545283825379,Local-GAM CI results suppressed
3re,23,coverage,Local-GAM,5,500,0.3850786,0.3816993784530243,0.38845782154697567,Local-GAM CI results suppressed
3re,4,coverage,Local-GAM,10,50,0.630822,0.6219402615932602,0.6397037384067398,Local-GAM CI results suppressed
3re,8,coverage,Local-GAM,10,100,0.633764,0.6273111714443462,0.6402168285556538,Local-GAM CI results suppressed
3re,12,coverage,Local-GAM,10,200,0.6331765,0.6280556822256042,0.6382973177743959,Local-GAM CI results suppressed
3re,16,coverage,Local-GAM,10,300,0.6346713333333334,0.630721431215556,0.6386212354511107,Local-GAM CI results suppressed
3re,20,coverage,Local-GAM,10,400,0.630225,0.6269773856085306,0.6334726143914695,Local-GAM CI results suppressed
3re,24,coverage,Local-GAM,10,500,0.6327832,0.6295519314932241,0.6360144685067759,Local-GAM CI results suppressed
3re,2,ci_width,Local-GAM,3,50,6463417.254016282,5116756.788328974,7810077.7197035905,Local-GAM CI results suppressed
3re,6,ci_width,Local-GAM,3,100,7152681.480692347,5943154.375365608,8362208.586019085,Local-GAM CI results suppressed
3re,10,ci_width,Local-GAM,3,200,16611001.78963406,1585659.824237626,31636343.755030494,Local-GAM CI results suppressed
3re,14,ci_width,Local-GAM,3,300,7105023.706593039,5611501.718208421,8598545.694977658,Local-GAM CI results suppressed
3re,18,ci_width,Local-GAM,3,400,6986166.034021974,5713591.5898713395,8258740.478172608,Local-GAM CI results suppressed
3re,22,ci_width,Local-GAM,3,500,6830736.311969457,6050601.59785988,7610871.026079034,Local-GAM CI results suppressed
3re,3,ci_width,Local-GAM,5,50,1.23609055256195,1.195770909983625,1.2764101951402753,Local-GAM CI results suppressed
3re,7,ci_width,Local-GAM,5,100,1.2442334067172487,1.2113729254637797,1.2770938879707177,Local-GAM CI results suppressed
3re,11,ci_width,Local-GAM,5,200,1.2346723888354056,1.2136574488084053,1.255687328862406,Local-GAM CI results suppressed
3re,15,ci_width,Local-GAM,5,300,1.2424633920497516,1.2240361643588944,1.260890619740609,Local-GAM CI results suppressed
3re,19,ci_width,Local-GAM,5,400,1.236912711658894,1.2188203601902834,1.2550050631275047,Local-GAM CI results suppressed
3re,23,ci_width,Local-GAM,5,500,1.233999211521532,1.219190266661665,1.2488081563813989,Local-GAM CI results suppressed
3re,4,ci_width,Local-GAM,10,50,0.5247503125877192,0.5134510017914851,0.5360496233839533,Local-GAM CI results suppressed
3re,8,ci_width,Local-GAM,10,100,0.5248671950840227,0.5170061653744041,0.5327282247936412,Local-GAM CI results suppressed
3re,12,ci_width,Local-GAM,10,200,0.5256082686478967,0.5194163341245798,0.5318002031712136,Local-GAM CI results suppressed
3re,16,ci_width,Local-GAM,10,300,0.5268026923606486,0.5223407899151418,0.5312645948061554,Local-GAM CI results suppressed
3re,20,ci_width,Local-GAM,10,400,0.5235446364050929,0.5194032280338475,0.5276860447763382,Local-GAM CI results suppressed
3re,24,ci_width,Local-GAM,10,500,0.5229338488002766,0.519358338495866,0.5265093591046872,Local-GAM CI results suppressed
3re,2,rmw2,Local-GAM,3,50,5.150011185845302,0,7.450812369535685,Local-GAM suppressed for n_i < 5
3re,6,rmw2,Local-GAM,3,100,6.297148051991818,0,9.363579009259638,Local-GAM suppressed for n_i < 5
3re,10,rmw2,Local-GAM,3,200,14.748833492714514,0,22.783576992368673,Local-GAM suppressed for n_i < 5
3re,14,rmw2,Local-GAM,3,300,12.660767857993292,0,18.87166109811895,Local-GAM suppressed for n_i < 5
3re,18,rmw2,Local-GAM,3,400,13.274138668615388,0,19.64934387778951,Local-GAM suppressed for n_i < 5
3re,22,rmw2,Local-GAM,3,500,11.673713267951966,0,17.27536113178005,Local-GAM suppressed for n_i < 5
