case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
sitar,5,100,2,SITAR,5,5,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0.8,0,0,0,0.2,0.42521,0.11170666666666668,0.5332666666666666,0.1571166666666667
sitar,6,100,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43686,0.06695666666666665,1.5342333333333333,0.08073333333333335
sitar,6,100,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53432,0.03897333333333331,0.55865,0.04318333333333335
sitar,6,100,3,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6925833333333333,0.20568333333333336,0.7365999999999999,0.2522500000000001
sitar,6,100,3,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57888,0.09632333333333336,0.5840333333333334,0.1019166666666667
sitar,6,100,3,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,7.420063333333333,4.075073333333334,7.516266666666667,4.116166666666667
sitar,6,100,3,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5629133333333334,0.023646666666666646,0.5734333333333334,0.027499999999999976
sitar,6,100,3,SITAR,5,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0.6,0,0,0,0.4,0.69982,0.32874333333333333,0.9241833333333334,0.5356333333333333
sitar,7,100,5,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45612,0.15124,1.7987499999999998,0.19494999999999998
sitar,7,100,5,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38099,0.031056666666666666,0.41386666666666666,0.03433333333333331
sitar,7,100,5,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44654333333333335,0.08028333333333332,0.5759333333333333,0.0957166666666667
sitar,7,100,5,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41381333333333337,0.04857666666666667,0.5357166666666667,0.06863333333333325
sitar,7,100,5,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,10.780116666666666,7.13671,14.533766666666667,10.4622
sitar,7,100,5,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49586,0.05800000000000002,0.5556666666666668,0.06140000000000002
sitar,7,100,5,SITAR,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.36355666666666675,0.03575000000000003,0.3828000000000001,0.046883333333333374
sitar,8,100,10,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47226,0.27191,1.5551833333333331,0.33085
sitar,8,100,10,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52826,0.053156666666666685,0.6369833333333333,0.06548333333333337
sitar,8,100,10,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6089633333333333,0.14570333333333332,0.6588166666666666,0.1776666666666666
sitar,8,100,10,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49991,0.034546666666666656,0.5163333333333333,0.036549999999999964
