case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
2re,1,50,2,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43701650000000186,0.007907500000001316,0.4495000000000194,0.016633333333326544
2re,1,50,2,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04851366666666661,0.013256500000000055,0.05569999999999974,0.01433333333333356
2re,1,50,2,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14150499999999988,0.06588300000000019,0.5579666666666677,0.4970166666666652
2re,1,50,2,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023772999999999985,1.3333333333359103e-5,0.02626666666666703,1.6666666668167332e-5
2re,1,50,2,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053924166666666905,0.0031981666666664904,0.07023333333333236,0.004033333333336486
2re,1,50,2,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35758633333333356,0.32989200000000085,1.8651166666666665,1.73245
2re,2,50,3,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4357641666666659,0.008324166666666088,0.4515999999999925,0.018049999999993814
2re,2,50,3,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918344999999987,0.022657499999999706,0.21171666666667383,0.06118333333333794
2re,2,50,3,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09490833333333323,0.022818333333333857,0.16363333333332927,0.05885000000000673
2re,2,50,3,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08612950000000032,0.05073099999999969,0.11813333333333655,0.07484999999999976
2re,2,50,3,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02133733333333338,1.2833333333304608e-5,0.0266666666666661,1.6666666667219943e-5
2re,2,50,3,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05821049999999991,0.007322500000000142,0.08273333333333237,0.008883333333331696
2re,2,50,3,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.050961666666667,1.0251244999999995,4.859783333333326,4.83731666666666
2re,3,50,5,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44409800000000044,0.013202499999999721,0.4626666666666551,0.0279333333333246
2re,3,50,5,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049782666666666565,0.013522166666666644,0.06181666666666672,0.016749999999999925
2re,3,50,5,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10261216666666625,0.02882649999999986,0.16135000000000066,0.061783333333338915
2re,3,50,5,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04337933333333278,0.012629999999999881,0.04726666666667067,0.017416666666667878
2re,3,50,5,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022583000000000027,1.2999999999995756e-5,0.024650000000000696,1.6666666668167332e-5
2re,3,50,5,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08140133333333399,0.026621333333333306,0.16288333333333563,0.05138333333333473
2re,3,50,5,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8436903333333334,2.8091515,16.33401666666667,16.29083333333333
2re,4,50,10,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4520326666666662,0.018846499999998885,0.6016833333333428,0.03410000000000082
2re,4,50,10,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09563216666666546,0.024306833333333517,0.1310333333333195,0.04286666666666861
2re,4,50,10,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09556816666666651,0.029434833333333816,0.2855833333333333,0.1370333333333333
2re,4,50,10,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043280666666666925,0.011726000000000417,0.05073333333333873,0.014033333333334971
2re,4,50,10,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021462000000000037,1.3333333333306996e-5,0.025166666666666514,1.6666666667219943e-5
2re,4,50,10,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193983000000002,0.14182633333333433,0.2412000000000262,0.16598333333331539
